item_number,concept,familiarity,encounter,complexity,GIF,JPEG
6,apple,4.92,1.35,1.29,4397,2054
7,arm,4.81,1.33,1.67,2910,1665
22,bed,4.69,1.56,2.21,3871,2375
27,bicycle,4.5,1.83,3.25,5604,3090
30,book,4.73,1.28,1.83,3073,1839
47,car,4.62,1.35,3.38,4470,2055
49,cat,3.96,1.67,3.25,6423,2129
53,chair,4.73,1.11,1.83,4566,2297
55,chicken,3.54,3.44,3.5,5217,2177
72,desk,4.23,1.5,2.63,4654,2315
73,dog,4.54,1.78,2.38,4903,2051
76,door,4.62,1.33,2.67,9015,2400
77,doorknob,4.27,1.61,2.5,6056,2294
81,duck,4,3.33,3.08,4572,1842
83,ear,4.69,1.22,2.67,5117,2126
86,eye,4.96,1.22,3.21,4982,2028
88,finger,4.62,1.22,2.46,3883,1705
91,flower,4,1.61,2.83,4434,2196
94,foot,4.62,1.22,2.17,3449,1542
97,fork,4.62,1.28,1.58,2761,1532
104,glass,4.88,1.22,1.38,4129,1628
115,hand,4.54,1.22,2.54,5800,2061
122,house,4.58,1.33,3.38,5009,2211
155,nose,4.73,1.67,2.21,4418,1521
162,pants,4.38,1.22,1.83,6972,1901
167,pen,4.69,1.28,2.13,2534,1678
168,pencil,4.69,1.56,2.08,2213,1549
179,pot,4.5,1.5,1.96,4898,2012
180,potato,4.12,1.72,1.71,4306,1667
182,rabbit,3.85,3.78,3.04,6017,2048
185,refrigerator,4.88,1.56,2.42,3538,1797
203,shirt,4.23,1.78,2.21,7418,2375
211,socks,4.58,1.5,2.33,5940,1889
215,spoon,4.77,1.33,1.42,2791,1613
224,sweater,4.19,1.67,2.5,6664,2059
228,television,4.62,1.5,4.38,5449,2192
236,tomato,4.35,1.94,1.67,3871,1802
237,toothbrush,4.92,1.39,1.58,2385,1584
241,tree,4.88,1.33,3.42,6831,2579
242,truck,4.08,2.06,3.04,4443,2002
250,watch,4.35,1.89,2.71,5945,2592
257,window,4.54,1.28,2.92,5390,2277
