concept,rating
accordeon,2.273
airplane,2.727
alligator,4.545
anchor,4.455
ant,4.091
apple,3.455
arm,4.091
arrow,1.091
artichoke,4.818
ashtray,1.545
aspargus,4.455
axe,4
baby cariage,1.455
ball,1
balloon,1.364
banana,4.818
barn,4.091
barrel,4.364
baseball bat,3.727
basket,3.364
bear,3.727
bed,1.545
bee,4.455
beetle,4.273
bell,3.727
belt,3
bicycle,1.818
bird,2
blouse,1
book,1.818
boot,2.364
bottle,2.818
bow,1.364
bowl,1.091
box,1.182
bread,4.273
broom,2.909
brush,2.091
bus,2.364
butterfly,1.364
buttton,1
cake,1.636
camel,4.545
knife,3.182
ladder,3.364
lamp,1.364
leaf,3.182
leg,4.091
lemon,4.545
leopard,4.818
lettuce,4.636
light bulb,3.818
light switch,2.727
lion,4.545
lips,4.455
lobster,4.727
lock,3.364
mitten,1
monkey,3.545
moon,4.636
motorcycle,1.545
mountain,3.455
mouse,4.364
mushroom,2.545
nail,4.455
nail file,3.545
necklace,1.818
needle,4.091
nose,4.182
nut,4.455
onion,4.455
orange,4.909
ostrich,4.273
owl,3.818
paintbrush,2.818
pants,1.364
peach,4.273
peacock,3.727
peanut,5
pear,4.182
pen,1.091
pencil,1.909
penguin,5
pepper,3.273
piano,3.727
pig,4.455
candle,1.545
cannon,3.636
cap,1.636
car,1.636
carrott,5
cat,2.636
caterpillar,3
celery,4.818
chain,3.636
chair,2.636
cherry,4.727
chicken,3.636
chisel,3.545
church,2.727
cigar,4.909
cigarette,4.818
clock,2.182
clothespin,1.818
cloud,3.909
clown,2.909
coat,1.182
comb,1.6
corn,4.909
couch,1.091
cow,3.182
crown,3.455
cup,1.455
deer,4.727
desk,2.091
dog,2.909
doll,1.636
donkey,4.455
door,2
doorknob,2.455
dress,1
dresser,3.364
drum,2.182
duck,3.182
eagle,4.273
ear,4.182
elephant,4.727
envelope,3.455
eye,2.636
pineapple,4.727
pipe,3.091
pitcher,2.364
pliers,3.636
plug,3
pocketbook,1.091
pot,2.636
potato,4.545
pumpkin,4.909
rabbit,3.545
raccoon,4.545
record player,2.455
refrigerator,3.455
rhinoceros,4.909
ring,2.818
rocking chair,3.364
roller skate,2.182
rolling pin,3.455
rooster,3.818
ruler,2.182
sailboat,2.727
saltshaker,2.909
sandwich,3.545
saw,3.727
scissors,3.727
screw,4.455
screwdriver,3
sea horse,4.091
seal,4.091
sheep,4.091
shirt,1.182
shoe,2.091
skirt,1
skunk,4.909
sled,2.545
snail,3.727
snake,2.909
snowman,4.818
socks,1
spider,3.364
spinning wheel,4.545
spool of thread,1.182
spoon,4
fence,3.091
finger,4.091
fish,1.818
flag,1
flower,1.273
flut,3.364
fly,4.455
foot,4.091
football,3.545
helmet,1.182
fork,4.091
fox,4.364
french horn,4.273
frog,4.091
frying pan,3
garbage can,2.636
giraffe,4.545
glass,3.636
glasses,2.273
glove,1.364
goat,3.727
gorilla,4.545
grapes,3.636
grasshopper,4.455
guitar,3.636
gun,4.182
hair,2.727
hammer,3.364
hand,4.182
hanger,2.909
harp,4.455
hat,1.818
heart,5
helicopter,2
horse,3.545
house,2.364
iron,2.364
ironing board,1.455
jacket,1.273
kangourou,4.727
kettle,3
key,4.273
kite,1.182
squirrel,4.273
star,4.182
stool,2.545
stove,3.455
strawberry,4.636
suitcase,1.636
sun,4.727
swan,4.818
sweater,1
swing,2.636
table,3
telephone,1.909
television,3.091
tennis racket,1.818
thimble,4
thumb,4
tie,1.182
tiger,4.455
toaster,2.364
toe,4.182
tomato,4.636
toothbrush,1.182
top,1.091
traffic lights,4.636
train,2.727
tree,3.909
truck,1.273
trumpet,4.455
turtle,4.091
umbrella,1.182
vase,1.182
vest,1.636
violin,4.364
wagon,1.909
watch,1.909
watering can,2.182
watermelon,4.727
well,3.273
wheel,3.545
whistle,3.182
windmill,3.182
window,3.091
wine glass,4
wrench,4.818
zebra,5
