id,mean_line-drawing,mean_gray,mean_color,sd_line-drawing,sd_gray,sd_color
1. accordion,4.35,4.41,4.06,0.62,0.76,0.93
2. airplane,4.12,4.12,3.94,0.86,0.74,1.31
3. alligator,4.06,4.18,3.94,0.81,0.65,0.81
4. anchor,2.35,2.59,2.41,0.87,0.76,0.88
5. ant,4,4.18,3.94,0.5,0.4,0.68
6. apple,1.06,1.18,1.35,0.06,0.15,0.99
7. arm,2.94,2.47,2.53,1.18,1.01,1.89
8. arrow,1.12,1.24,1.41,0.24,0.57,0.76
9. artichoke,2.82,2.71,2.94,0.9,1.1,1.31
10. ashtray,2.06,2,1.76,0.43,0.38,0.32
11. aspargus,2.53,2.41,2.41,1.14,0.88,0.88
12. axe,1.41,1.59,1.65,0.38,0.38,0.37
13. baby cariage,4.12,3.71,3.29,0.36,0.47,0.85
14. ball,1.94,1.59,1.59,0.93,0.63,1.13
15. balloon,1.06,1.18,1.24,0.06,0.15,0.32
16. banana,1.06,1.12,1.41,0.06,0.11,1.01
17. barn,4,4.29,3.71,1,0.35,1.1
18. barrel,2.35,2.65,2.24,0.87,0.99,1.07
19. baseball bat,1.41,1.18,1.47,0.26,0.15,0.64
20. basket,3.18,2.53,2.53,1.78,0.64,1.51
21. bear,3.82,3.82,3.82,0.4,0.9,0.78
22. bed,2.41,3,2.29,0.63,0.25,0.47
23. bee,4.35,4.41,4.18,0.49,0.38,0.53
24. beetle,4.18,3.94,3.88,0.78,1.06,1.36
25. bell,2.53,2.53,2.12,0.76,0.26,0.49
26. belt,2,2.24,1.65,0.5,0.69,0.37
27. bicycle,3.88,4.24,3.24,0.38,0.57,0.82
28. bird,3.24,3.71,3.71,0.44,0.6,1.22
29. blouse,2.94,3.12,2.59,0.81,0.74,1.01
30. book,1.71,1.88,1.59,0.6,0.49,0.38
31. boot,2.12,2.47,2.29,0.49,0.39,0.85
32. bottle,1.12,1.35,1.44,0.11,0.37,0.53
33. bow,2.71,2.59,2.18,0.85,0.51,0.9
34. bowl,1.53,1.35,1.29,0.51,0.24,0.35
35. box,1.41,1.29,1.18,1.01,0.22,0.28
36. bread,1.41,1.82,1.82,0.26,0.53,1.15
37. broom,1.94,2,1.88,0.56,0.38,0.49
38. brush,2,2,1.59,0.5,0.38,0.38
39. bus,4.35,4.24,3.82,0.74,0.44,0.78
40. butterfly,3.71,4,3.53,0.47,0.63,1.14
41. buttton,1.35,1.47,1.41,0.37,1.14,0.63
42. cake,2.06,2.29,2.24,1,0.85,0.57
43. camel,4,3.76,3.88,0.38,0.69,0.86
44. candle,2,2.29,2.06,0.75,0.47,0.68
45. cannon,4.35,4.12,4,0.49,0.24,0.63
46. cap,1.76,2,1.94,0.32,0.38,0.43
47. car,4.18,4,3.94,0.78,1,0.93
48. carrott,1.53,1.65,1.88,0.51,0.49,0.74
49. cat,3.06,4.18,3.35,0.56,0.65,1.49
50. caterpillar,3.35,3.41,3.53,0.62,0.63,1.39
51. celery,3.47,3.06,3.06,1.76,1.43,1.18
52. chain,2.59,2.24,2.13,1.26,0.32,0.52
53. chair,1.82,2.71,2,0.4,0.35,0.88
54. cherry,1.12,1.41,1.76,0.11,0.26,0.94
55. chicken,3.12,3.35,3.35,0.86,0.87,0.99
56. chisel,2.65,2.59,2.56,0.62,0.38,1.33
57. church,4.12,3.94,3.47,0.61,0.43,0.76
58. cigar,2.12,1.53,2.29,0.86,0.51,0.97
59. cigarette,1.29,1.41,1.65,0.35,0.26,0.49
60. clock,2.65,3.18,2.65,0.62,0.9,0.87
61. clothespin,2.41,2.59,2.18,0.38,0.51,0.65
62. cloud,3.06,2.06,2.29,1.56,1.06,1.72
63. clown,4.53,4.59,4.29,1.14,0.51,0.85
64. coat,2.76,2.94,2.41,0.69,0.56,0.76
65. comb,1.88,2.18,1.94,0.99,0.9,0.68
66. corn,2.77,3,2.88,1.36,0.75,0.74
67. couch,2.5,2.76,2.41,0.67,0.32,0.51
68. cow,3.71,4.53,4.12,1.22,0.39,0.61
69. crown,3.53,3.53,3.41,1.51,1.14,1.51
70. cup,1.47,1.47,1.76,0.26,0.26,0.57
71. deer,4.18,4.12,4.12,0.4,0.49,0.86
72. desk,3,3.06,2.29,0.43,0.43,0.35
73. dog,3.29,3.59,3.18,0.47,0.88,0.9
74. doll,3.88,4,3.59,1.11,0.5,1.01
75. donkey,3.82,3.94,4.06,0.53,0.56,0.68
76. door,2,2.41,1.82,0.5,0.63,0.65
77. doorknob,2.65,2.41,2.29,0.99,0.26,0.6
78. dress,2.41,2.47,2.35,1.01,0.26,0.74
79. dresser,2.94,2.82,2.41,0.81,0.78,0.38
80. drum,2.24,3.06,3,0.57,0.43,1
81. duck,3.35,3.71,3.65,0.37,0.6,0.87
82. eagle,4.29,4.53,4.29,0.6,0.39,0.6
83. ear,3.12,3.47,3.29,0.61,0.76,1.72
84. elephant,4.24,4.12,3.82,1.07,0.61,1.28
85. envelope,1.12,1.47,1.29,0.11,0.26,0.35
