item_number,concept,french_concept,agreement_line-drawing,agreement_gray,agreement_color,accuracy_line-drawing,accuracy_gray,accuracy_color,RTs_line-drawing,RTs_gray,RTs_color
1,accordion,accordéon,0,0,0,100,100,100,860,925,905
2,airplane,avion,0,0,0,100,100,100,660,678,661
3,alligator,crocodile,0.53,0.95,0.71,88,63,81,1089,1122,876
4,anchor,ancre,0,0,0,100,100,100,1199,988,943
5,ant,fourmi,0,0,0,100,100,100,1474,1448,1062
6,apple,pomme,1.17,0.98,0.93,67,59,65,917,900,908
7,arm,bras,0,0,0,100,100,100,973,1106,911
8,arrow,flèche,1.37,1.37,1.56,65,68,47,918,869,837
9,artichoke,artichaut,1.86,1.71,1.44,36,60,44,1185,1201,1005
10,ashtray,cendrier,1.29,1,1.39,53,47,58,1167,1038,914
11,aspargus,asperge,0,0,0,100,100,100,1553,1436,1255
12,axe,hache,0,0,0,100,100,100,1073,1252,864
13,baby carriage,landau,0,0,0,100,100,100,964,975,875
14,ball,balle,0.68,0.65,0.5,82,83,89,787,721,762
15,balloon,ballon,0.81,0.29,0.63,83,95,84,1051,775,688
16,banana,banane,0,0,0,100,100,100,733,719,639
17,barn,grange,0,0,0,100,100,100,1788,,1272
18,barrel,tonneau,0,0,0,100,100,100,834,892,861
19,baseball bat,batte de base-ball,0,0,0,100,100,100,1056,1196,1104
20,basket,panier,0,0,0,100,100,100,747,782,778
21,bear,ours,0,0,0,100,100,100,882,896,912
22,bed,lit,0,0.29,0,100,95,100,700,710,727
23,bee,abeille,0,0,0,100,100,100,1476,1507,1612
24,beetle,scarabée,0.29,0,0,95,100,100,2537,1018,1117
25,bell,cloche,0,0.29,0,100,95,100,818,776,732
26,belt,ceinture,1.35,0.81,1.01,60,75,74,834,837,801
27,bicycle,vélo,0.63,0,0.29,89,100,95,774,760,661
28,bird,oiseau,0.29,0.29,0,95,95,100,997,988,1035
29,blouse,chemisier,0.5,0.59,0.61,89,89,85,1259,1133,1959
30,book,livre,0,0,0,100,100,100,708,823,730
31,boot,botte,0,0.29,0,100,95,100,955,1104,963
32,bottle,bouteille,0,0,0,100,100,100,746,918,748
33,bow,nœud,0.29,0,0,95,100,100,799,783,779
34,bowl,bol,0,0,0,100,100,100,981,1044,1001
35,box,boîte,0.58,0.32,0.32,90,94,94,1060,1032,842
36,bread,pain,0.32,0.64,0.64,94,88,88,940,1038,921
37,broom,balais,0,0,0,100,100,100,857,918,767
38,brush,brosse,0,1.62,1.06,100,64,73,765,782,734
39,bus,bus,0,0,0,100,100,100,904,1043,797
40,butterfly,papillon,0,0,0,100,100,100,777,731,678
41,button,bouton,1.58,1.4,0.32,54,63,94,1289,1130,1251
42,cake,gâteau,0.32,0,0,94,100,100,785,795,672
43,camel,chameau,0.32,0.32,0,94,94,100,1023,867,980
44,candle,bougie,1.92,0.88,1.59,38,70,33,827,751,772
45,cannon,canon,0,0,0.29,100,100,95,1002,1133,1041
46,cap,casquette,0,0,0,100,100,100,875,849,843
47,car,voiture,0.87,0.61,0.75,84,85,85,710,736,718
48,carrott,carotte,0,0,0,100,100,100,685,780,622
