"trial_id","timestamp","session_number","session_trial_id","section","section_trial_id","word_id","novel_word_for_task","exposure_count","picture_id","word_length","target","participant_input","correct","edit_distance"
"1","2018-08-11 10:36:05","3","1","R_TR11","1","30","0","1","224","5","skEfi","susEfi","0","0.333333"
"2","2018-08-11 10:37:38","3","2","R_TR11","2","26","0","1","162","5","kublE","kubnaE","0","0.333333"
"3","2018-08-11 10:38:14","3","3","R_TR11","3","20","0","1","053","4","nifs","nifsla","0","0.333333"
"4","2018-08-11 10:38:51","3","4","R_TR11","4","27","0","1","047","5","bEsmi","asama","0","0.8"
"5","2018-08-11 10:39:14","7","1","R_TR11","1","9","0","1","049","4","snOf","fuaf","0","0.75"
"6","2018-08-11 10:39:14","6","1","R_TR11","1","1","0","1","047","3","nEf","nudla","0","0.8"
"7","2018-08-11 10:39:33","7","2","R_TR11","2","8","0","1","115","4","snid","sOis","0","0.5"
"8","2018-08-11 10:39:35","3","5","R_TR11","5","24","0","1","081","5","dEsna","dafsmi","0","0.666667"
"9","2018-08-11 10:40:03","7","3","R_TR11","3","10","0","1","086","4","blim","ania","0","0.75"
"10","2018-08-11 10:40:18","6","2","R_TR11","2","10","0","1","006","4","blim","dunEm","0","0.8"
"11","2018-08-11 10:40:22","3","6","R_TR11","6","8","0","1","007","4","snid","fanida","0","0.5"
"12","2018-08-11 10:40:28","7","4","R_TR11","4","22","0","1","182","5","nOflE","usEn","0","1"
"13","2018-08-11 10:40:51","7","5","R_TR11","5","2","0","1","167","3","fub","nOi","0","1"
"14","2018-08-11 10:40:57","6","3","R_TR11","3","35","0","1","007","5","slOku","snibluf","0","0.714286"
"15","2018-08-11 10:41:15","3","7","R_TR11","7","41","0","1","104","6","slinab","sninak","0","0.333333"
"16","2018-08-11 10:41:27","6","4","R_TR11","4","29","0","1","155","5","smiba","smE","0","0.6"
"17","2018-08-11 10:41:30","7","6","R_TR11","6","20","0","1","179","4","nifs","Oins","0","0.5"
"18","2018-08-11 10:41:52","7","7","R_TR11","7","40","0","1","241","6","flEsOd","ians","0","0.833333"
"19","2018-08-11 10:42:02","6","5","R_TR11","5","37","0","1","077","6","blEkus","smindOsi","0","0.875"
"20","2018-08-11 10:42:07","3","8","R_TR11","8","13","0","1","022","4","flOb","slaak","0","0.8"
