"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"1",1,"START","","ibEunsamfOkld","dialect","RR",1,"female","opaque","2018-08-10 12:27:15","0000-00-00 00:00:00",0,"",0,0,0
"2",2,"START","","inuskalmOfdbE","dialect","RR",1,"male","opaque","2018-08-10 12:28:46","0000-00-00 00:00:00",0,"",0,0,0
"3",3,"END","00003Klyej","aidOufnsmkblE","dialect","RR",1,"male","opaque","2018-08-11 10:16:31","2018-08-11 11:54:47",65,"f",5,5,5
"4",4,"SCRIPT","","snalfmuObiEkd","dialect","RR",1,"male","opaque","2018-08-11 10:19:43","0000-00-00 00:00:00",23,"f",5,0,0
"5",5,"SCRIPT","","ldnOfkisuaEmb","dialect","RR",1,"male","opaque","2018-08-11 10:30:10","0000-00-00 00:00:00",18,"f",5,0,0
"6",6,"END","00006eEdZg","fkiulsadmEbnO","dialect","RR",1,"male","opaque","2018-08-11 10:31:42","2018-08-11 11:41:53",33,"f",5,5,5
"7",7,"END","00007mvTLg","dbOufaElnkmis","dialect","RR",1,"male","opaque","2018-08-11 10:33:18","2018-08-11 11:10:50",28,"m",5,5,5
"8",8,"END","00008qAyDJ","EdaklbmsOnufi","dialect","RR",1,"male","opaque","2018-08-11 10:40:16","2018-08-11 11:53:01",35,"m",5,4,4
"9",9,"END","00009IfnLq","EsunOdakimflb","dialect","RR",1,"male","opaque","2018-08-11 10:44:48","2018-08-11 11:35:48",26,"m",5,4,5
"10",10,"END","00010oikrh","kEsabfdliunOm","dialect","RR",1,"male","opaque","2018-08-11 10:46:52","2018-08-11 11:13:16",19,"m",5,4,5
"11",11,"END","00011rzPho","sEmfiOadkunlb","dialect","RR",1,"male","opaque","2018-08-11 10:53:32","2018-08-11 11:22:40",44,"m",5,5,5
"12",12,"END","00012CjaDW","faOuskilEndmb","dialect","RR",1,"male","opaque","2018-08-11 10:58:24","2018-08-11 12:02:56",27,"f",5,4,5
"13",13,"END","00013QiMJH","bndfaikEulmsO","dialect","RR",1,"male","opaque","2018-08-11 10:58:57","2018-08-11 11:46:38",22,"f",5,4,5
"14",14,"END","00014QCbKL","msliEndOfkbua","dialect","RR",1,"male","opaque","2018-08-11 11:01:27","2018-08-11 13:11:15",27,"m",5,4,5
"15",15,"END","00015rXdcZ","nEOidakbslmfu","dialect","RR",1,"male","opaque","2018-08-11 11:11:30","2018-08-11 12:13:49",32,"f",5,1,4
"16",16,"END","00016pZrLY","dslnEObmifuak","dialect","RR",1,"male","opaque","2018-08-11 11:12:29","2018-08-11 11:50:35",45,"m",5,5,5
"17",17,"END","00017cCMIY","fkdmibEsunOal","dialect","RR",1,"male","opaque","2018-08-11 11:15:27","2018-08-11 12:16:55",18,"f",5,4,5
"18",18,"END","00018fHkxb","usEimaklfbndO","dialect","RR",1,"male","opaque","2018-08-11 11:27:18","2018-08-11 12:38:40",21,"m",5,5,5
"19",19,"START","","fanEsikOdumbl","dialect","RR",0,"male","opaque","2018-08-12 17:15:14","0000-00-00 00:00:00",0,"",0,0,0
"20",20,"R_TR11","","OfmklisnEaubd","standard","RR",1,"male","opaque","2018-08-14 11:39:07","0000-00-00 00:00:00",28,"m",5,0,0
"21",21,"END","00021lCKyr","iknadsblOuEfm","standard","RR",1,"male","opaque","2018-08-14 11:42:41","2018-08-14 14:34:57",40,"m",5,5,5
"22",22,"END","00022sZdUh","ilmdnEOsbukfa","standard","RR",1,"male","opaque","2018-08-14 11:52:26","2018-08-14 12:34:06",35,"f",5,5,5
"23",23,"END","00023JLRhU","sinfOldmaukbE","standard","RR",1,"male","opaque","2018-08-14 11:54:10","2018-08-14 13:23:21",20,"f",5,4,5
"24",24,"END","00024Rzhbe","OlmsEndufkiba","standard","RR",1,"male","opaque","2018-08-14 12:18:25","2018-08-14 12:53:24",43,"f",5,4,5
"25",25,"END","00025XfldN","adikfmOnlbuEs","standard","RR",1,"male","opaque","2018-08-14 12:20:40","2018-08-14 12:39:17",25,"f",1,1,3
