trial_id,participant_number,session_trial_id,section_trial_id,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,task,block,picture_id,word_id,test_words,dialect_words,target_length,exposure_count,target,primary_coder_response,primary_coder_response_length,primary_max_word_length,primary_coder_correct,primary_coder_nLED,secondary_coder_response,secondary_coder_response_length,secondary_max_word_length,secondary_coder_correct,secondary_coder_nLED,lenient_max_word_length,lenient_correct,lenient_nLED,stringent_max_word_length,stringent_correct,stringent_nLED,submission_time,running_time
1,3,1,1,dialect,opaque,picture,RR,male,R,TR1,224,30,training_word,shifted_word,5,1,skEfi,susEfi,6,6,0,0.333333,sOsEfi,6,6,0,0.333333,6,0,0.333333,6,0,0.333333,NA,1174s (~19.57 minutes)
2,3,2,2,dialect,opaque,picture,RR,male,R,TR1,162,26,training_word,shifted_word,5,1,kublE,kubnaE,6,6,0,0.333333,fubnaE,6,6,0,0.5,6,0,0.333333,6,0,0.5,93s (~1.55 minutes),1267s (~21.12 minutes)
3,3,3,3,dialect,opaque,picture,RR,male,R,TR1,53,20,training_word,no_shift_word,4,1,nifs,nifsla,6,6,0,0.333333,nifsla,6,6,0,0.333333,6,0,0.333333,6,0,0.333333,36s,1303s (~21.72 minutes)
4,3,4,4,dialect,opaque,picture,RR,male,R,TR1,47,27,training_word,shifted_word,5,1,bEsmi,asama,5,5,0,0.8,asama,5,5,0,0.8,5,0,0.8,5,0,0.8,37s,1340s (~22.33 minutes)
8,3,5,5,dialect,opaque,picture,RR,male,R,TR1,81,24,training_word,no_shift_word,5,1,dEsna,dafsmi,6,6,0,0.666667,dafsmi,6,6,0,0.666667,6,0,0.666667,6,0,0.666667,44s,1384s (~23.07 minutes)
11,3,6,6,dialect,opaque,picture,RR,male,R,TR1,7,8,training_word,shifted_word,4,1,snid,fanida,6,6,0,0.5,fanida,6,6,0,0.5,6,0,0.5,6,0,0.5,47s,1431s (~23.85 minutes)
15,3,7,7,dialect,opaque,picture,RR,male,R,TR1,104,41,training_word,no_shift_word,6,1,slinab,sninak,6,6,0,0.333333,sninak,6,6,0,0.333333,6,0,0.333333,6,0,0.333333,53s,1484s (~24.73 minutes)
20,3,8,8,dialect,opaque,picture,RR,male,R,TR1,22,13,training_word,no_shift_word,4,1,flOb,slaak,5,5,0,0.8,slaak,5,5,0,0.8,5,0,0.8,5,0,0.8,52s,1536s (~25.6 minutes)
25,3,9,9,dialect,opaque,picture,RR,male,R,TR1,185,21,training_word,shifted_word,4,1,nEsk,nasa,4,4,0,0.5,nas,3,4,0,0.5,4,0,0.5,4,0,0.5,46s,1582s (~26.37 minutes)
28,3,10,10,dialect,opaque,picture,RR,male,R,TR1,168,17,training_word,no_shift_word,4,1,mOls,malOsa,6,6,0,0.5,malOsa,6,6,0,0.5,6,0,0.5,6,0,0.5,24s,1606s (~26.77 minutes)
32,3,11,1,dialect,opaque,picture,RR,male,R,TR2,7,8,training_word,shifted_word,4,2,snid,snid,4,4,1,0,snid,4,4,1,0,4,1,0,4,1,0,NA,1634s (~27.23 minutes)
33,3,12,2,dialect,opaque,picture,RR,male,R,TR2,53,20,training_word,no_shift_word,4,2,nifs,nifsa,5,5,0,0.2,nifs,4,4,1,0,4,1,0,5,0,0.2,18s,1652s (~27.53 minutes)
37,3,13,3,dialect,opaque,picture,RR,male,R,TR2,162,26,training_word,shifted_word,5,2,kublE,kubnE,5,5,0,0.2,kubnE,5,5,0,0.2,5,0,0.2,5,0,0.2,31s,1683s (~28.05 minutes)
40,3,14,4,dialect,opaque,picture,RR,male,R,TR2,185,21,training_word,shifted_word,4,2,nEsk,nisk,4,4,0,0.25,nisk,4,4,0,0.25,4,0,0.25,4,0,0.25,48s,1731s (~28.85 minutes)
45,3,15,5,dialect,opaque,picture,RR,male,R,TR2,224,30,training_word,shifted_word,5,2,skEfi,skEswi,6,6,0,0.333333,skEsvi,6,6,0,0.333333,6,0,0.333333,6,0,0.333333,44s,1775s (~29.58 minutes)
52,3,16,6,dialect,opaque,picture,RR,male,R,TR2,81,24,training_word,no_shift_word,5,2,dEsna,dEsmO,5,5,0,0.4,dEsmO,5,5,0,0.4,5,0,0.4,5,0,0.4,49s,1824s (~30.4 minutes)
