participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
3,dialect,opaque,picture,RR,male,65,f,English,5,5,5,2018-08-11T10:16:31Z,2018-08-11T11:54:47Z,5896s (~1.64 hours)
6,dialect,opaque,picture,RR,male,33,f,Spanish,1,5,5,2018-08-11T10:31:42Z,2018-08-11T11:41:53Z,4211s (~1.17 hours)
6,dialect,opaque,picture,RR,male,33,f,Japanese,1,5,5,2018-08-11T10:31:42Z,2018-08-11T11:41:53Z,4211s (~1.17 hours)
6,dialect,opaque,picture,RR,male,33,f,English,5,5,5,2018-08-11T10:31:42Z,2018-08-11T11:41:53Z,4211s (~1.17 hours)
7,dialect,opaque,picture,RR,male,28,m,German,1,5,5,2018-08-11T10:33:18Z,2018-08-11T11:10:50Z,2252s (~37.53 minutes)
7,dialect,opaque,picture,RR,male,28,m,French,1,5,5,2018-08-11T10:33:18Z,2018-08-11T11:10:50Z,2252s (~37.53 minutes)
7,dialect,opaque,picture,RR,male,28,m,Dutch,1,5,5,2018-08-11T10:33:18Z,2018-08-11T11:10:50Z,2252s (~37.53 minutes)
7,dialect,opaque,picture,RR,male,28,m,English,5,5,5,2018-08-11T10:33:18Z,2018-08-11T11:10:50Z,2252s (~37.53 minutes)
8,dialect,opaque,picture,RR,male,35,m,English,5,4,4,2018-08-11T10:40:16Z,2018-08-11T11:53:01Z,4365s (~1.21 hours)
9,dialect,opaque,picture,RR,male,26,m,English,5,4,5,2018-08-11T10:44:48Z,2018-08-11T11:35:48Z,3060s (~51 minutes)
10,dialect,opaque,picture,RR,male,19,m,English,5,4,5,2018-08-11T10:46:52Z,2018-08-11T11:13:16Z,1584s (~26.4 minutes)
11,dialect,opaque,picture,RR,male,44,m,English,5,5,5,2018-08-11T10:53:32Z,2018-08-11T11:22:40Z,1748s (~29.13 minutes)
11,dialect,opaque,picture,RR,male,44,m,French,2,5,5,2018-08-11T10:53:32Z,2018-08-11T11:22:40Z,1748s (~29.13 minutes)
12,dialect,opaque,picture,RR,male,27,f,English,5,4,5,2018-08-11T10:58:24Z,2018-08-11T12:02:56Z,3872s (~1.08 hours)
13,dialect,opaque,picture,RR,male,22,f,English,5,4,5,2018-08-11T10:58:57Z,2018-08-11T11:46:38Z,2861s (~47.68 minutes)
