"participant_number"	"task"	"mean_nLED"	"sd_nLED"	"mean_correct"	"sd_correct"
"1"	3	"R"	0.0956349285714286	0.141854701085884	0.476190476190476	0.505486736604131
"2"	6	"R"	0.184127	0.180106575609838	0.380952380952381	0.49150743499232
"3"	7	"R"	0.412641666666667	0.210863468653808	0.0714285714285714	0.260661180215007
"4"	8	"R"	0.353854857142857	0.324089049237079	0.238095238095238	0.431080537409042
"5"	9	"R"	0.1163265	0.141370022931046	0.547619047619048	0.503760538950749
"6"	10	"R"	0.772231666666667	0.193408043876616	0.0238095238095238	0.154303349962092
"7"	11	"R"	0.107142880952381	0.164174161911747	0.571428571428571	0.50087032267781
"8"	12	"R"	0.0896825476190476	0.137729954218692	0.642857142857143	0.484965604585173
"9"	13	"R"	0.117857142857143	0.165089811196087	0.452380952380952	0.503760538950749
"10"	14	"R"	0.0876984047619048	0.135103033503713	0.642857142857143	0.484965604585173
"11"	15	"R"	0.427380952380952	0.295330003022493	0.142857142857143	0.354168801660573
"12"	16	"R"	0.0967479756097561	0.149732131010429	0.634146341463415	0.487652415198347
"13"	17	"R"	0.186337833333333	0.184650319111414	0.357142857142857	0.484965604585173
"14"	18	"R"	0.0641156666666667	0.113544597793042	0.69047619047619	0.467901138093333
"15"	21	"R"	0.291326523809524	0.332033629466349	0.357142857142857	0.484965604585173
"16"	22	"R"	0.424206357142857	0.266544765631319	0.142857142857143	0.354168801660573
"17"	23	"R"	0.0845805	0.137195407470468	0.642857142857143	0.484965604585173
"18"	24	"R"	0.14410430952381	0.175653049744131	0.5	0.506060827347474
"19"	25	"R"	NA	NA	NA	NA
"20"	26	"R"	0.285714285714286	0.249920644006159	0.285714285714286	0.457229956859213
"21"	27	"R"	0.329365071428571	0.245441091764214	0.261904761904762	0.445000619869331
"22"	29	"R"	0.0892857142857143	0.138410500005667	0.642857142857143	0.484965604585173
"23"	31	"R"	0.453968285714286	0.249710150260529	0.142857142857143	0.354168801660573
"24"	32	"R"	0.254478476190476	0.207790463219648	0.261904761904762	0.445000619869331
"25"	33	"R"	0.758536585365854	0.300349850434204	0.024390243902439	0.156173761888606
"26"	34	"R"	0.668877595238095	0.199723560219822	0.0238095238095238	0.154303349962092
"27"	36	"R"	0.594557833333333	0.259565800802118	0.0238095238095238	0.154303349962092
"28"	44	"R"	0.078174619047619	0.160347180394408	0.714285714285714	0.457229956859213
"29"	45	"R"	0.405158714285714	0.382696333012334	0.261904761904762	0.445000619869331
"30"	48	"R"	0.532086142857143	0.23122808478997	0.0714285714285714	0.260661180215007
"31"	50	"R"	0.39376419047619	0.232401152267434	0.0952380952380952	0.297101757186175
"32"	52	"R"	0.154365071428571	0.179809403346499	0.428571428571429	0.50087032267781
"33"	53	"R"	0.245634928571429	0.235416376474348	0.380952380952381	0.49150743499232
"34"	55	"R"	0.14246030952381	0.152850137912843	0.357142857142857	0.484965604585173
"35"	58	"R"	0.302380904761905	0.165220178533154	0.0714285714285714	0.260661180215007
"36"	59	"R"	0.357539642857143	0.250073244722794	0.214285714285714	0.415299732236633
"37"	60	"R"	NA	NA	NA	NA
"38"	61	"R"	NA	NA	NA	NA
"39"	65	"R"	0.522789142857143	0.166298135164378	0	0
"40"	66	"R"	0.50428	0.235357576454709	0.0238095238095238	0.154303349962092
"41"	67	"R"	0.306009023809524	0.211448648012506	0.119047619047619	0.327770067561568
"42"	68	"R"	0.148809523809524	0.187133303831883	0.476190476190476	0.505486736604131
"43"	71	"R"	0.840079309523809	0.180673985859518	0	0
