"code_id","timestamp","coder","trial_id","session_number","target","coded_response","correct","edit_distance"
"1","2017-05-05 15:10:54","unknown","1","2","dEsna","asna","0","0.4"
"2","2017-05-05 15:10:54","unknown","2","2","nEf","adnu","0","1"
"3","2017-05-05 15:10:54","unknown","3","2","nEsk","Efda","0","1"
"4","2017-05-05 15:10:54","unknown","4","2","snibOl","skina","0","0.666667"
"5","2017-05-05 15:10:54","unknown","5","2","blim","mima","0","0.75"
"6","2017-05-05 15:10:54","unknown","6","2","dasmu","nismu","0","0.4"
"7","2017-05-05 15:10:54","unknown","7","2","flOb","anOb","0","0.5"
"8","2017-05-05 15:10:54","unknown","8","2","fub","nub","0","0.333333"
"9","2017-05-05 15:10:54","unknown","9","2","slinab","lihab","0","0.333333"
"10","2017-05-05 15:10:54","unknown","10","2","nal","nus","0","0.666667"
"11","2017-05-05 15:10:54","unknown","21","2","mif","mib","0","0.333333"
"12","2017-05-05 15:10:54","unknown","22","2","nOflE","fasnu","0","1"
"13","2017-05-05 15:10:54","unknown","23","2","bEsmi","basmi","0","0.2"
"14","2017-05-05 15:10:54","unknown","24","2","kublE","kublE","1","0"
"15","2017-05-05 15:10:54","unknown","25","2","snOf","slOku","0","0.6"
"16","2017-05-05 15:10:54","unknown","26","2","flidu","flibu","0","0.2"
"17","2017-05-05 15:10:54","unknown","27","2","nifs","nifla","0","0.4"
"18","2017-05-05 15:10:54","unknown","28","2","smiba","nibOl","0","0.8"
"19","2017-05-05 15:10:54","unknown","29","2","skEfi","gEmi","0","0.6"
"20","2017-05-05 15:10:54","unknown","30","2","snid","snida","0","0.2"
"21","2017-05-05 15:10:54","unknown","39","2","flEsOd","flEsOd","1","0"
"22","2017-05-05 15:10:54","unknown","40","2","fOns","flOnE","0","0.4"
"23","2017-05-05 15:10:54","unknown","41","2","balf","balf","1","0"
"24","2017-05-05 15:10:54","unknown","43","2","blaf","blOf","0","0.25"
"25","2017-05-05 15:10:54","unknown","44","2","slOku","snOku","0","0.2"
"26","2017-05-05 15:10:54","unknown","46","2","mOls","mals","0","0.25"
"27","2017-05-05 15:10:54","unknown","47","2","daf","daf","1","0"
"28","2017-05-05 15:10:54","unknown","48","2","smadu","smadu","1","0"
"29","2017-05-05 15:10:54","unknown","49","2","lOm","lOm","1","0"
"30","2017-05-05 15:10:54","unknown","50","2","blEkus","blEku","0","0.166667"
"31","2017-05-05 15:10:54","unknown","51","2","skEfi","skEfi","1","0"
"32","2017-05-05 15:10:54","unknown","52","2","skOnEf","skOnuf","0","0.166667"
"33","2017-05-05 15:10:54","unknown","53","2","blaf","blOf","0","0.25"
"34","2017-05-05 15:10:54","unknown","54","2","mif","bif","0","0.333333"
"35","2017-05-05 15:10:54","unknown","55","2","klOda","klauda","0","0.333333"
"36","2017-05-05 15:10:54","unknown","56","2","nOflE","nOflE","1","0"
"37","2017-05-05 15:10:54","unknown","57","2","blEkus","blEku","0","0.166667"
"38","2017-05-05 15:10:54","unknown","58","2","mab","mab","1","0"
"39","2017-05-05 15:10:54","unknown","59","2","smadu","smadu","1","0"
"40","2017-05-05 15:10:54","unknown","60","2","balf","bOlf","0","0.25"
"41","2017-05-05 15:10:54","unknown","61","2","bEsmi","bEsmi","1","0"
"42","2017-05-05 15:10:54","unknown","63","2","klufE","klufE","1","0"
"43","2017-05-05 15:10:54","unknown","64","2","blim","blim","1","0"
"44","2017-05-05 15:10:54","unknown","65","2","fub","fub","1","0"
"45","2017-05-05 15:10:54","unknown","67","2","nifs","nifs","1","0"
"46","2017-05-05 15:10:54","unknown","68","2","snid","snid","1","0"
"47","2017-05-05 15:10:54","unknown","69","2","slOku","sbaku","0","0.4"
"48","2017-05-05 15:10:54","unknown","71","2","dikla","dikla","1","0"
"49","2017-05-05 15:10:54","unknown","72","2","flidu","flidu","1","0"
"50","2017-05-05 15:10:54","unknown","73","2","slinab","slinab","1","0"
"51","2017-05-05 15:10:54","unknown","74","2","mOls","mals","0","0.25"
"52","2017-05-05 15:10:54","unknown","75","2","fOns","baln","0","1"
"53","2017-05-05 15:10:54","unknown","76","2","nEsk","nEsk","1","0"
"54","2017-05-05 15:10:54","unknown","77","2","flOb","flab","0","0.25"
"55","2017-05-05 15:10:54","unknown","79","2","snOf","snauf","0","0.4"
"56","2017-05-05 15:10:54","unknown","80","2","flabun","flabun","1","0"
"57","2017-05-05 15:10:54","unknown","82","2","smiba","smiba","1","0"
"58","2017-05-05 15:10:54","unknown","83","2","lOm","lam","0","0.333333"
"59","2017-05-05 15:10:54","unknown","84","2","klEb","klEb","1","0"
"60","2017-05-05 15:10:54","unknown","85","2","suld","suld","1","0"
"61","2017-05-05 15:10:54","unknown","86","2","dasmu","dasmu","1","0"
"62","2017-05-05 15:10:54","unknown","88","2","kublE","kublE","1","0"
"63","2017-05-05 15:10:54","unknown","89","2","dOlk","dalsk","0","0.4"
"64","2017-05-05 15:10:54","unknown","90","2","dEsna","dEsna","1","0"
"65","2017-05-05 15:10:54","unknown","91","2","snibOl","snibOl","1","0"
"66","2017-05-05 15:10:54","unknown","93","2","flEsOd","flEskab","0","0.428571"
"67","2017-05-05 15:10:54","unknown","94","2","luskO","luska","0","0.2"
"68","2017-05-05 15:10:54","unknown","95","2","nal","nal","1","0"
"69","2017-05-05 15:10:54","unknown","96","2","daf","dOf","0","0.333333"
"70","2017-05-05 15:10:54","unknown","98","2","skub","skub","1","0"
"71","2017-05-05 15:10:54","unknown","99","2","klusim","klusim","1","0"
"72","2017-05-05 15:10:54","unknown","100","2","nEf","nEf","1","0"
"73","2017-05-05 15:10:54","unknown","11","3","fOns","faula","0","0.8"
"74","2017-05-05 15:10:54","unknown","12","3","smadu","amgag","0","0.8"
"75","2017-05-05 15:10:54","unknown","13","3","flidu","faiga","0","0.6"
"76","2017-05-05 15:10:54","unknown","14","3","balf","mguf","0","0.75"
"77","2017-05-05 15:10:54","unknown","15","3","skEfi","bigaf","0","1"
"78","2017-05-05 15:10:54","unknown","16","3","nEsk","mskaki","0","0.833333"
"79","2017-05-05 15:10:54","unknown","17","3","lOm","OlEg","0","0.75"
"80","2017-05-05 15:10:54","unknown","18","3","nEf","niska","0","0.8"
"81","2017-05-05 15:10:54","unknown","19","3","snid","sknEg","0","0.6"
"82","2017-05-05 15:10:54","unknown","20","3","slOku","sklOgi","0","0.5"
"83","2017-05-05 15:10:54","unknown","31","3","smiba","smiba","1","0"
"84","2017-05-05 15:10:54","unknown","32","3","daf","daf","1","0"
"85","2017-05-05 15:10:54","unknown","33","3","blim","blim","1","0"
"86","2017-05-05 15:10:54","unknown","34","3","dasmu","dmaska","0","0.5"
"87","2017-05-05 15:10:54","unknown","35","3","nifs","nifs","1","0"
"88","2017-05-05 15:10:54","unknown","36","3","nal","nagl","0","0.25"
"89","2017-05-05 15:10:54","unknown","37","3","blaf","blafs","0","0.2"
"90","2017-05-05 15:10:54","unknown","38","3","snibOl","sknOibOl","0","0.25"
"91","2017-05-05 15:10:54","unknown","42","3","flEsOd","slOgadO","0","0.714286"
"92","2017-05-05 15:10:54","unknown","45","3","bEsmi","blaskmi","0","0.428571"
"93","2017-05-05 15:10:54","unknown","62","3","mOls","mOls","1","0"
"94","2017-05-05 15:10:54","unknown","66","3","snOf","snOf","1","0"
"95","2017-05-05 15:10:54","unknown","70","3","flOb","flOb","1","0"
"96","2017-05-05 15:10:54","unknown","78","3","slinab","slinab","1","0"
"97","2017-05-05 15:10:54","unknown","81","3","mif","mif","1","0"
"98","2017-05-05 15:10:54","unknown","87","3","dEsna","disna","0","0.2"
"99","2017-05-05 15:10:54","unknown","92","3","kublE","glOba","0","1"
"100","2017-05-05 15:10:54","unknown","97","3","fub","fkub","0","0.25"
"101","2017-05-05 15:10:54","unknown","101","3","blEkus","blask","0","0.666667"
"102","2017-05-05 15:10:54","unknown","102","3","nOflE","nOf","0","0.4"
"103","2017-05-05 15:10:54","unknown","103","3","blim","blim","1","0"
"104","2017-05-05 15:10:54","unknown","104","3","flabun","flabin","0","0.166667"
"105","2017-05-05 15:10:54","unknown","105","3","nOflE","nOfla","0","0.2"
"106","2017-05-05 15:10:54","unknown","106","3","smiba","smiba","1","0"
"107","2017-05-05 15:10:54","unknown","107","3","dasmu","dasmagu","0","0.285714"
"108","2017-05-05 15:10:54","unknown","108","3","bEsmi","bEsmi","1","0"
"109","2017-05-05 15:10:54","unknown","109","3","fOns","fOns","1","0"
"110","2017-05-05 15:10:54","unknown","110","3","skOnEf","skunOf","0","0.333333"
"111","2017-05-05 15:10:54","unknown","111","3","snid","snid","1","0"
