"trial_id","timestamp","session_number","session_trial_id","section","section_trial_id","word_id","novel_word_for_task","exposure_count","picture_id","word_length","target","participant_input","correct","edit_distance"
"1","2017-03-24 16:06:53","2","1","R_TR1","1","24","0","1","000","5","dEsna","asna","0","0.4"
"2","2017-03-24 16:07:22","2","2","R_TR1","2","1","0","1","000","3","nEf","adnu","0","1"
"3","2017-03-24 16:07:51","2","3","R_TR1","3","21","0","1","000","4","nEsk","Esda","0","0.5"
"4","2017-03-24 16:08:12","2","4","R_TR1","4","38","0","1","000","6","snibOl","skina","0","0.666667"
"5","2017-03-24 16:08:33","2","5","R_TR1","5","10","0","1","000","4","blim","lima","0","0.5"
"6","2017-03-24 16:08:58","2","6","R_TR1","6","25","0","1","000","5","dasmu","nisnu","0","0.6"
"7","2017-03-24 16:09:18","2","7","R_TR1","7","13","0","1","000","4","flOb","anOb","0","0.5"
"8","2017-03-24 16:09:37","2","8","R_TR1","8","2","0","1","000","3","fub","nlub","0","0.5"
"9","2017-03-24 16:10:05","2","9","R_TR1","9","41","0","1","000","6","slinab","lihab","0","0.333333"
"10","2017-03-24 16:10:21","2","10","R_TR1","10","5","0","1","000","3","nal","nus","0","0.666667"
"11","2017-03-24 16:19:09","3","1","R_TR1","1","18","0","1","000","4","fOns","faula","0","0.8"
"12","2017-03-24 16:20:00","3","2","R_TR1","2","32","0","1","000","5","smadu","amagag","0","0.666667"
"13","2017-03-24 16:20:33","3","3","R_TR1","3","34","0","1","000","5","flidu","faiga","0","0.6"
"14","2017-03-24 16:21:00","3","4","R_TR1","4","15","0","1","000","4","balf","magaf","0","0.6"
"15","2017-03-24 16:21:35","3","5","R_TR1","5","30","0","1","000","5","skEfi","baiguf","0","1"
"16","2017-03-24 16:22:16","3","6","R_TR1","6","21","0","1","000","4","nEsk","mskaki","0","0.833333"
"17","2017-03-24 16:23:19","3","7","R_TR1","7","6","0","1","000","3","lOm","OlEg","0","0.75"
"18","2017-03-24 16:23:56","3","8","R_TR1","8","1","0","1","000","3","nEf","niska","0","0.8"
"19","2017-03-24 16:25:06","3","9","R_TR1","9","8","0","1","000","4","snid","sknEg","0","0.6"
"20","2017-03-24 16:26:15","3","10","R_TR1","10","35","0","1","000","5","slOku","sklOgi","0","0.5"
"21","2017-03-24 16:28:07","2","21","R_TR2","1","4","0","2","000","3","mif","mib","0","0.333333"
"22","2017-03-24 16:28:31","2","22","R_TR2","2","22","0","2","000","5","nOflE","fOsnO","0","0.8"
"23","2017-03-24 16:28:48","2","23","R_TR2","3","27","0","2","000","5","bEsmi","basmi","0","0.2"
"24","2017-03-24 16:29:02","2","24","R_TR2","4","26","0","2","000","5","kublE","kublE","1","0"
"25","2017-03-24 16:29:20","2","25","R_TR2","5","9","0","2","000","4","snOf","slOku","0","0.6"
"26","2017-03-24 16:29:35","2","26","R_TR2","6","34","0","2","000","5","flidu","flibu","0","0.2"
"27","2017-03-24 16:29:53","2","27","R_TR2","7","20","0","2","000","4","nifs","nifla","0","0.4"
"28","2017-03-24 16:30:06","2","28","R_TR2","8","29","0","2","000","5","smiba","nibl","0","0.6"
"29","2017-03-24 16:30:31","2","29","R_TR2","9","30","0","2","000","5","skEfi","gaEmi","0","0.6"
"30","2017-03-24 16:30:58","2","30","R_TR2","10","8","0","2","000","4","snid","snida","0","0.2"
"31","2017-03-24 16:34:30","3","21","R_TR2","1","29","0","2","000","5","smiba","smiba","1","0"
"32","2017-03-24 16:35:05","3","22","R_TR2","2","7","0","2","000","3","daf","duf","0","0.333333"
"33","2017-03-24 16:35:39","3","23","R_TR2","3","10","0","2","000","4","blim","blim","1","0"
"34","2017-03-24 16:36:13","3","24","R_TR2","4","25","0","2","000","5","dasmu","dmaska","0","0.5"
"35","2017-03-24 16:36:42","3","25","R_TR2","5","20","0","2","000","4","nifs","nifs","1","0"
"36","2017-03-24 16:37:11","3","26","R_TR2","6","5","0","2","000","3","nal","naugl","0","0.4"
"37","2017-03-24 16:37:41","3","27","R_TR2","7","11","0","2","000","4","blaf","blafs","0","0.2"
"38","2017-03-24 16:38:32","3","28","R_TR2","8","38","0","2","000","6","snibOl","sknOibOl","0","0.25"
"39","2017-03-24 16:38:44","2","41","R_TR3","1","40","0","3","000","6","flEsOd","flEsOd","1","0"
"40","2017-03-24 16:39:11","2","42","R_TR3","2","18","0","3","000","4","fOns","flOnE","0","0.4"
"41","2017-03-24 16:39:29","2","43","R_TR3","3","15","0","3","000","4","balf","balf","1","0"
"42","2017-03-24 16:39:30","3","29","R_TR2","9","40","0","2","000","6","flEsOd","slOgadO","0","0.714286"
"43","2017-03-24 16:39:41","2","44","R_TR3","4","11","0","3","000","4","blaf","bluf","0","0.25"
"44","2017-03-24 16:39:57","2","45","R_TR3","5","35","0","3","000","5","slOku","snauku","0","0.5"
"45","2017-03-24 16:40:09","3","30","R_TR2","10","27","0","2","000","5","bEsmi","blEskmi","0","0.285714"
