"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"1",1,"START","","kdaEfOmuinlsb","standard","RW",1,"female","transparent","2017-03-24 14:53:52","0000-00-00 00:00:00",0,"",0,0,0
"2",2,"END","00002pxVKb","fnaklsEOubmid","standard","RW",0,"male","transparent","2017-03-24 15:52:56","2017-03-24 17:05:17",46,"f",5,4,5
"3",3,"END","00003HoKTb","uOmbdlikafnEs","standard","RW",0,"female","transparent","2017-03-24 16:12:16","2017-03-24 17:36:34",54,"f",5,4,5
"4",4,"END","00004hLfkU","kElnfdOibsaum","standard","WR",1,"male","transparent","2017-03-24 17:11:23","2017-03-24 17:59:10",30,"f",5,4,5
"5",5,"R_TR1","","ldnsiubmkOEaf","standard","WR",1,"female","transparent","2017-03-24 18:02:09","0000-00-00 00:00:00",49,"f",5,0,0
"6",6,"END","00006mjPut","sElnuObdfmkia","standard","WR",0,"male","transparent","2017-03-24 18:08:21","2017-03-24 19:21:28",49,"m",5,5,5
"7",7,"END","00007YrKZb","bfmsaEdnikulO","standard","WR",0,"female","transparent","2017-03-24 18:14:44","2017-03-24 19:01:52",55,"m",5,4,5
"8",8,"INSTR_EXPOSURE2","","niOEdbuslkamf","standard","RW",1,"male","transparent","2017-03-24 18:19:11","0000-00-00 00:00:00",26,"m",5,0,0
"9",9,"END","00009xLFAO","OlkEnfdbmuais","standard","RW",1,"female","transparent","2017-03-24 18:35:35","2017-03-24 19:43:27",53,"m",5,1,5
"10",10,"DEMOGRAPHICS","","OEfkdnilbaums","standard","RW",0,"male","transparent","2017-03-24 19:24:39","0000-00-00 00:00:00",0,"",0,0,0
"11",11,"END","00011Wehjd","OubkilEfasdmn","standard","RW",0,"female","transparent","2017-03-24 19:45:42","2017-03-24 20:36:50",46,"m",5,3,3
"12",12,"R_TR2","","kdasuinlOEfmb","standard","WR",1,"male","transparent","2017-03-24 21:12:51","0000-00-00 00:00:00",43,"f",5,0,0
"13",13,"INSTR_R_TR1","","idubkmEasflnO","standard","WR",1,"female","transparent","2017-03-24 21:14:30","0000-00-00 00:00:00",65,"f",5,0,0
"14",14,"W_TR1","","idbamkEOflnus","standard","WR",0,"male","transparent","2017-03-24 21:38:46","2017-06-02 22:58:00",51,"f",5,0,0
"15",15,"END","00015jkTPW","bmdnfsOaulikE","standard","WR",0,"female","transparent","2017-03-24 21:42:18","2017-03-24 23:18:46",36,"f",5,4,5
"16",16,"END","00016XbPLq","buEifsaldkOmn","standard","RW",1,"male","transparent","2017-03-24 22:49:13","2017-03-25 00:17:39",33,"m",5,3,5
"17",17,"END","00017fNmDa","bflEOmdnaskui","standard","RW",1,"female","transparent","2017-03-25 07:58:32","2017-03-25 09:07:31",44,"m",5,5,5
"18",18,"END","00018hfxzk","liabkdnumOsEf","standard","RW",0,"male","transparent","2017-03-28 11:39:03","2017-03-28 12:02:49",30,"m",5,5,5
