"trial_id","timestamp","session_number","session_trial_id","section","section_trial_id","word_id","novel_word_for_task","exposure_count","picture_id","word_length","target","participant_input","correct","edit_distance"
"1","2017-03-24 16:11:14","2","11","W_TR1","1","25","0","2","000","5","dasmu","naskub","0","0.5"
"2","2017-03-24 16:11:45","2","12","W_TR1","2","24","0","2","000","5","dEsna","Osiisma","0","0.714286"
"3","2017-03-24 16:12:15","2","13","W_TR1","3","41","0","2","000","6","slinab","sinEk","0","0.5"
"4","2017-03-24 16:12:40","2","14","W_TR1","4","5","0","2","000","3","nal","Ead","0","0.666667"
"5","2017-03-24 16:13:03","2","15","W_TR1","5","13","0","2","000","4","flOb","fab","0","0.5"
"6","2017-03-24 16:13:28","2","16","W_TR1","6","38","0","2","000","6","snibOl","sEibOf","0","0.333333"
"7","2017-03-24 16:14:05","2","17","W_TR1","7","10","0","2","000","4","blim","bnik","0","0.5"
"8","2017-03-24 16:14:31","2","18","W_TR1","8","21","0","2","000","4","nEsk","Enlk","0","0.75"
"9","2017-03-24 16:14:55","2","19","W_TR1","9","1","0","2","000","3","nEf","nEfd","0","0.25"
"10","2017-03-24 16:15:17","2","20","W_TR1","10","2","0","2","000","3","fub","fud","0","0.333333"
"11","2017-03-24 16:27:18","3","11","W_TR1","1","32","0","2","000","5","smadu","smd","0","0.4"
"12","2017-03-24 16:27:50","3","12","W_TR1","2","8","0","2","000","4","snid","snid","1","0"
"13","2017-03-24 16:28:20","3","13","W_TR1","3","6","0","2","000","3","lOm","lOmi","0","0.25"
"14","2017-03-24 16:28:45","3","14","W_TR1","4","21","0","2","000","4","nEsk","nEs","0","0.25"
"15","2017-03-24 16:29:13","3","15","W_TR1","5","35","0","2","000","5","slOku","slOu","0","0.2"
"16","2017-03-24 16:29:36","3","16","W_TR1","6","1","0","2","000","3","nEf","nEf","1","0"
"17","2017-03-24 16:29:57","3","17","W_TR1","7","34","0","2","000","5","flidu","flkd","0","0.4"
"18","2017-03-24 16:30:45","3","18","W_TR1","8","15","0","2","000","4","balf","bEaf","0","0.5"
"19","2017-03-24 16:31:31","2","31","W_TR2","1","26","0","3","000","5","kublE","kubsn","0","0.4"
"20","2017-03-24 16:31:38","3","19","W_TR1","9","18","0","2","000","4","fOns","fEau","0","0.75"
"21","2017-03-24 16:32:01","3","20","W_TR1","10","30","0","2","000","5","skEfi","sEfi","0","0.2"
"22","2017-03-24 16:32:01","2","32","W_TR2","2","22","0","3","000","5","nOflE","EaOn","0","1"
"23","2017-03-24 16:32:27","2","33","W_TR2","3","30","0","3","000","5","skEfi","lkdOi","0","0.6"
"24","2017-03-24 16:33:00","2","34","W_TR2","4","8","0","3","000","4","snid","sEid","0","0.25"
"25","2017-03-24 16:33:20","2","35","W_TR2","5","29","0","3","000","5","smiba","smiba","1","0"
"26","2017-03-24 16:33:35","2","36","W_TR2","6","9","0","3","000","4","snOf","snaO","0","0.5"
"27","2017-03-24 16:33:51","2","37","W_TR2","7","20","0","3","000","4","nifs","niOs","0","0.25"
"28","2017-03-24 16:34:13","2","38","W_TR2","8","4","0","3","000","3","mif","Oi","0","0.666667"
"29","2017-03-24 16:34:53","2","39","W_TR2","9","34","0","3","000","5","flidu","Olidu","0","0.2"
"30","2017-03-24 16:35:14","2","40","W_TR2","10","27","0","3","000","5","bEsmi","bEsmi","1","0"
"31","2017-03-24 16:40:43","3","31","W_TR2","1","7","0","3","000","3","daf","dEf","0","0.333333"
"32","2017-03-24 16:41:03","3","32","W_TR2","2","11","0","3","000","4","blaf","blEf","0","0.25"
"33","2017-03-24 16:41:36","3","33","W_TR2","3","40","0","3","000","6","flEsOd","flEsad","0","0.166667"
"34","2017-03-24 16:41:41","2","51","W_TR3","1","7","0","4","000","3","daf","daf","1","0"
"35","2017-03-24 16:42:00","3","34","W_TR2","4","10","0","3","000","4","blim","blim","1","0"
"36","2017-03-24 16:42:01","2","52","W_TR3","2","18","0","4","000","4","fOns","fOns","1","0"
"37","2017-03-24 16:42:27","2","53","W_TR3","3","32","0","4","000","5","smadu","smadu","1","0"
"38","2017-03-24 16:42:33","3","35","W_TR2","5","38","0","3","000","6","snibOl","siba","0","0.5"
"39","2017-03-24 16:42:45","2","54","W_TR3","4","11","0","4","000","4","blaf","blaf","1","0"
"40","2017-03-24 16:43:03","3","36","W_TR2","6","29","0","3","000","5","smiba","smiba","1","0"
"41","2017-03-24 16:43:03","2","55","W_TR3","5","35","0","4","000","5","slOku","slOku","1","0"
"42","2017-03-24 16:43:24","2","56","W_TR3","6","15","0","4","000","4","balf","bOlf","0","0.25"
"43","2017-03-24 16:43:30","3","37","W_TR2","7","20","0","3","000","4","nifs","nifs","1","0"
"44","2017-03-24 16:43:42","2","57","W_TR3","7","17","0","4","000","4","mOls","bOls","0","0.25"
"45","2017-03-24 16:43:54","3","38","W_TR2","8","25","0","3","000","5","dasmu","damO","0","0.4"
"46","2017-03-24 16:44:05","2","58","W_TR3","8","6","0","4","000","3","lOm","lam","0","0.333333"
"47","2017-03-24 16:44:15","3","39","W_TR2","9","5","0","3","000","3","nal","nEl","0","0.333333"
"48","2017-03-24 16:44:26","2","59","W_TR3","9","37","0","4","000","6","blEkus","blEkus","1","0"
"49","2017-03-24 16:44:41","3","40","W_TR2","10","27","0","3","000","5","bEsmi","bEsmi","1","0"
"50","2017-03-24 16:44:44","2","60","W_TR3","10","40","0","4","000","6","flEsOd","flEsad","0","0.166667"
"51","2017-03-24 16:53:17","2","103","W_TEST","1","34","1","6","000","5","flidu","flidu","1","0"
"52","2017-03-24 16:53:35","2","104","W_TEST","2","5","1","6","000","3","nal","nal","1","0"
"53","2017-03-24 16:53:48","2","105","W_TEST","3","7","1","6","000","3","daf","dOf","0","0.333333"
"54","2017-03-24 16:53:59","2","106","W_TEST","4","9","1","6","000","4","snOf","snaf","0","0.25"
"55","2017-03-24 16:54:32","2","107","W_TEST","5","32","1","6","000","5","smadu","smOdu","0","0.2"
"56","2017-03-24 16:54:33","3","51","W_TR3","1","37","0","4","000","6","blEkus","blEku","0","0.166667"
"57","2017-03-24 16:54:52","2","108","W_TEST","6","35","1","6","000","5","slOku","slOku","1","0"
"58","2017-03-24 16:54:58","3","52","W_TR3","2","13","0","4","000","4","flOb","flOb","1","0"
"59","2017-03-24 16:55:13","2","109","W_TEST","7","36","0","1","000","6","skOnEf","skOnEf","1","0"
"60","2017-03-24 16:55:22","3","53","W_TR3","3","24","0","4","000","5","dEsna","dEsn","0","0.2"
"61","2017-03-24 16:55:32","2","110","W_TEST","8","6","1","6","000","3","lOm","lOm","1","0"
