participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
2,standard,transparent,no_picture,RW,male,46,f,Spanish,1,4,5,2017-03-24T15:52:56Z,2017-03-24T17:05:17Z,4341s (~1.21 hours)
2,standard,transparent,no_picture,RW,male,46,f,English,5,4,5,2017-03-24T15:52:56Z,2017-03-24T17:05:17Z,4341s (~1.21 hours)
3,standard,transparent,no_picture,RW,female,54,f,English,5,4,5,2017-03-24T16:12:16Z,2017-03-24T17:36:34Z,5058s (~1.41 hours)
4,standard,transparent,picture,WR,male,30,f,English,5,4,5,2017-03-24T17:11:23Z,2017-03-24T17:59:10Z,2867s (~47.78 minutes)
7,standard,transparent,no_picture,WR,female,55,m,English,5,4,5,2017-03-24T18:14:44Z,2017-03-24T19:01:52Z,2828s (~47.13 minutes)
9,standard,transparent,picture,RW,female,53,m,English,5,1,5,2017-03-24T18:35:35Z,2017-03-24T19:43:27Z,4072s (~1.13 hours)
11,standard,transparent,no_picture,RW,female,46,m,English,5,3,3,2017-03-24T19:45:42Z,2017-03-24T20:36:50Z,3068s (~51.13 minutes)
15,standard,transparent,no_picture,WR,female,36,f,French,2,4,5,2017-03-24T21:42:18Z,2017-03-24T23:18:46Z,5788s (~1.61 hours)
15,standard,transparent,no_picture,WR,female,36,f,English,5,4,5,2017-03-24T21:42:18Z,2017-03-24T23:18:46Z,5788s (~1.61 hours)
16,standard,transparent,picture,RW,male,33,m,English,5,3,5,2017-03-24T22:49:13Z,2017-03-25T00:17:39Z,5306s (~1.47 hours)
17,standard,transparent,picture,RW,female,44,m,English,5,5,5,2017-03-25T07:58:32Z,2017-03-25T09:07:31Z,4139s (~1.15 hours)
18,standard,transparent,no_picture,RW,male,30,m,English,5,5,5,2017-03-28T11:39:03Z,2017-03-28T12:02:49Z,1426s (~23.77 minutes)
19,standard,transparent,no_picture,RW,female,32,m,English,5,3,5,2017-03-28T11:43:09Z,2017-03-28T12:07:36Z,1467s (~24.45 minutes)
22,standard,transparent,no_picture,WR,male,29,m,English,5,4,5,2017-03-28T11:56:33Z,2017-03-28T12:31:50Z,2117s (~35.28 minutes)
23,standard,transparent,no_picture,WR,female,26,f,English,5,4,5,2017-03-28T12:17:10Z,2017-03-28T13:18:54Z,3704s (~1.03 hours)
24,standard,transparent,picture,RW,male,56,m,English,5,5,5,2017-03-28T12:47:41Z,2017-03-28T13:34:46Z,2825s (~47.08 minutes)
26,standard,transparent,no_picture,RW,male,44,m,English,5,5,5,2017-03-28T13:42:36Z,2017-03-28T14:45:39Z,3783s (~1.05 hours)
27,standard,transparent,no_picture,RW,female,52,m,English,4,5,5,2017-03-28T14:34:01Z,2017-03-28T15:36:13Z,3732s (~1.04 hours)
28,standard,transparent,picture,WR,male,31,m,English,5,1,5,2017-03-28T16:03:54Z,2017-03-28T17:13:09Z,4155s (~1.15 hours)
29,standard,transparent,picture,WR,female,30,m,English,5,3,5,2017-03-28T17:08:15Z,2017-03-28T18:16:13Z,4078s (~1.13 hours)
