"","participant_number","session_trial_id","target","target_lag","primary_coder_response","secondary_coder_response"
"1",4,31,"snOf","fub","fub","fub"
"2",22,14,"dEsna","nifs","nifs","nifs"
"3",22,39,"flOb","smiba","smiba","smiba"
"4",48,12,"lOm","smadu","smadu","smadu"
"5",63,12,"flidu","smadu","smadu","smadu"
"6",77,11,"skEfi","mOls","mOls","mOls"
"7",79,31,"flOb","fub","fub","fub"
"8",118,18,"mOls","flOb","flOb","flab"
"9",118,34,"flEsOd","slOku","slOku","slOku"
"10",127,11,"snibOl","smiba","smiba","smiba"
"11",127,12,"slOku","snibOl","snibOl","snibOl"
"12",127,33,"dasmu","daf","daf","das"
"13",127,39,"mif","lOm","lOm","vOm"
"14",127,55,"bEsmi","snOf","snOf","snOf"
"15",165,3,"slinab","smadu","smadO","smadu"
"16",192,25,"nEsk","fOns","kans","fOns"
"17",201,10,"daf","nEf","nEf","nE"
"18",206,3,"snid","nEf","nEf","nEs"
"19",206,4,"flEsOd","snid","smid","snid"
"20",206,5,"dEsna","flEsOd","flEsOd","flEsOd"
"21",206,6,"smiba","dEsna","dEsna","dEsma"
"22",206,7,"slOku","smiba","smiba","smiba"
"23",206,8,"flOb","slOku","slOku","slOku"
"24",206,10,"fub","snibOl","snibOl","snibOl"
"25",235,11,"slinab","smadu","smOdu","smadu"
"26",256,2,"balf","lOm","lOm","lam"
"27",259,10,"nEf","nifs","nifs","nifs"
"28",281,6,"flEsOd","smadu","smadu","smadu"
"29",293,48,"kublE","nal","nOl","nal"
"30",303,18,"flEsOd","snibOl","snibOl","snibOl"
"31",303,20,"nOflE","slOku","slOku","slOku"
"32",312,2,"flEsOd","mOls","mals","mOls"
"33",312,4,"nOflE","nEsk","nask","nEsk"
"34",312,5,"smadu","nOflE","nOflE","naflE"
"35",312,6,"nEf","smadu","smadu","smadu"
"36",312,7,"blEkus","nEf","nEf","nEf"
"37",312,8,"fub","blEkus","blEkus","blEkus"
"38",312,9,"flOb","fub","fub","fub"
"39",312,10,"slOku","flOb","flOb","flab"
"40",312,24,"blaf","balf","balf","balf"
"41",312,26,"slinab","smiba","smiba","smiba"
"42",312,28,"kublE","snibOl","nibOl","snibOl"
"43",312,50,"dEsna","daf","daf","daf"
"44",314,11,"nal","nOflE","naflE","nOflE"
"45",314,38,"blEkus","slOku","slOku","slOku"
"46",334,20,"bnaf","mif","mif","mif"
"47",335,22,"mOls","fOns","fOns","fOns"
"48",335,23,"dEsna","mOls","mOls","mOls"
"49",335,24,"smadu","dEsna","dEsna","dEsna"
"50",341,59,"bEsmi","nOflE","nOflE","nOflE"
"51",349,51,"slOku","fnOku","fnOku","fnOku"
"52",356,12,"nal","dEsna","dEsna","dEsmal"
"53",356,17,"daf","snibOl","snibOl","snibOl"
"54",356,18,"kublE","daf","daf","daf"
"55",356,19,"mOls","kublE","kubalE","kublE"
"56",356,20,"blaf","mOls","mals","mOls"
"57",356,34,"slinab","mif","mif","nif"
"58",356,37,"lOm","skEfi","skEfi","skEfi"
"59",356,39,"nEsk","bEsmi","bEsEmi","bEsmi"
