"participant_number"	"task"	"mean_nLED"	"sd_nLED"	"mean_correct"	"sd_correct"
"1"	2	"R"	0.0924603095238095	0.162475834847192	0.619047619047619	0.49150743499232
"2"	2	"W"	0.0813492142857143	0.122982476296727	0.666666666666667	0.477118723613698
"3"	3	"R"	0.146428547619048	0.163383267146079	0.452380952380952	0.503760538950749
"4"	3	"W"	0.162698404761905	0.207606338672564	0.523809523809524	0.505486736604131
"5"	4	"R"	0.176984142857143	0.209268721457291	0.5	0.506060827347474
"6"	4	"W"	0.121428571428571	0.142817416853613	0.523809523809524	0.505486736604131
"7"	6	"R"	0.75	0.353553390593274	0	0
"8"	6	"W"	0.60721728125	0.2138992270464	0	0
"9"	7	"R"	0.411904761904762	0.254320016760985	0.119047619047619	0.327770067561568
"10"	7	"W"	0.433730119047619	0.184841875498928	0.0238095238095238	0.154303349962092
"11"	9	"R"	0.406235857142857	0.308542643702623	0.214285714285714	0.415299732236633
"12"	9	"W"	0.38917230952381	0.252282427775049	0.166666666666667	0.377195470232912
"13"	11	"R"	0.236507904761905	0.23487403735005	0.285714285714286	0.457229956859213
"14"	11	"W"	0.226190452380952	0.18105168045336	0.261904761904762	0.445000619869331
"15"	15	"R"	0.0682539761904762	0.116335723523897	0.714285714285714	0.457229956859213
"16"	15	"W"	0.176829219512195	0.207728345640829	0.463414634146341	0.504854482777451
"17"	16	"R"	0.146797071428571	0.167081419944887	0.476190476190476	0.505486736604131
"18"	16	"W"	0.180487780487805	0.141808815388803	0.317073170731707	0.471116991321896
"19"	17	"R"	0.062528380952381	0.140056872861367	0.761904761904762	0.431080537409043
"20"	17	"W"	0.0119047619047619	0.0538850671761303	0.952380952380952	0.215540268704521
"21"	18	"R"	0.861111095238095	0.157799310527383	0	0
"22"	18	"W"	0.892857166666667	0.150209512347598	0	0
"23"	19	"R"	0.845606595238095	0.172487211517481	0	0
"24"	19	"W"	0.905555523809524	0.137074881783331	0	0
"25"	22	"R"	0.858730166666667	0.20729375307648	0.0238095238095238	0.154303349962092
"26"	22	"W"	0.893650785714286	0.14402988498488	0	0
"27"	23	"R"	0.343594119047619	0.226271791835502	0.0952380952380952	0.297101757186175
"28"	23	"W"	0.304065048780488	0.219999391505744	0.195121951219512	0.401217658828843
"29"	24	"R"	0.7912415	0.191708637798989	0	0
"30"	24	"W"	0.838492023809524	0.179221779241155	0	0
"31"	26	"R"	0.596145119047619	0.301539540198596	0.142857142857143	0.354168801660573
"32"	26	"W"	0.705952380952381	0.18891435766905	0.0238095238095238	0.154303349962092
"33"	27	"R"	0.0460317619047619	0.0924529920350586	0.785714285714286	0.415299732236633
"34"	27	"W"	0.130555523809524	0.148155575107474	0.523809523809524	0.505486736604131
"35"	28	"R"	0.40952380952381	0.387300830135466	0.285714285714286	0.457229956859213
