"code_id","timestamp","coder","trial_id","session_number","target","coded_response","correct","edit_distance"
"1","2018-02-22 10:45:52","vera","103","2","nEf","naf","0","0.333333"
"2","2018-02-22 10:45:55","vera","104","2","mif","mEf","0","0.333333"
"3","2018-02-22 10:46:00","vera","105","2","fOns","fOni","0","0.25"
"4","2018-02-22 10:46:03","vera","106","2","flEsOd","flOn","0","0.5"
"5","2018-02-22 10:46:06","vera","107","2","snOf","fnOf","0","0.25"
"6","2018-02-22 10:46:09","vera","108","2","flidu","flu","0","0.4"
"7","2018-02-22 10:46:12","vera","109","2","bEsmi","blEmE","0","0.6"
"8","2018-02-22 10:46:20","vera","110","2","nOflE","nOflut","0","0.333333"
"9","2018-02-22 10:46:24","vera","111","2","kublE","kubus","0","0.4"
"10","2018-02-22 10:46:26","vera","112","2","daf","daf","1","0"
"11","2018-02-22 10:46:30","vera","123","2","blEkus","bnEku","0","0.333333"
"12","2018-02-22 10:46:34","vera","124","2","smiba","smEba","0","0.2"
"13","2018-02-22 10:46:37","vera","125","2","flOb","flOb","1","0"
"14","2018-02-22 10:46:40","vera","126","2","smadu","smabu","0","0.2"
"15","2018-02-22 10:46:44","vera","127","2","nEsk","ulEk","0","0.75"
"16","2018-02-22 10:46:47","vera","129","2","lOm","lOm","1","0"
"17","2018-02-22 10:46:57","vera","133","2","slinab","fauEb","0","0.833333"
"18","2018-02-22 10:47:04","vera","137","2","snid","slub","0","0.75"
"19","2018-02-22 10:47:06","vera","140","2","nal","al","0","0.333333"
"20","2018-02-22 10:47:09","vera","143","2","snibOl","snibOl","1","0"
"21","2018-02-22 10:47:13","vera","162","2","skEfi","skEfi","1","0"
"22","2018-02-22 10:47:17","vera","165","2","blim","bnim","0","0.25"
"23","2018-02-22 10:47:19","vera","167","2","fub","fub","1","0"
"24","2018-02-22 10:47:23","vera","171","2","slOku","fnOku","0","0.4"
"25","2018-02-22 10:47:26","vera","174","2","nifs","nEfE","0","0.5"
"26","2018-02-22 10:47:30","vera","176","2","balf","balf","1","0"
"27","2018-02-22 10:47:33","vera","178","2","blaf","blaf","1","0"
"28","2018-02-22 10:47:39","vera","179","2","dEsna","dEfna","0","0.2"
"29","2018-02-22 10:47:42","vera","180","2","dasmu","dasmu","1","0"
"30","2018-02-22 10:47:45","vera","182","2","mOls","mOls","1","0"
"31","2018-02-22 10:47:49","vera","208","2","bEsmi","blEsmE","0","0.333333"
"32","2018-02-22 10:47:52","vera","210","2","fub","fub","1","0"
"33","2018-02-22 10:47:55","vera","212","2","fOns","fOns","1","0"
"34","2018-02-22 10:47:58","vera","215","2","smiba","smibi","0","0.2"
"35","2018-02-22 10:48:01","vera","217","2","slOku","fnOku","0","0.4"
"36","2018-02-22 10:48:04","vera","218","2","dasmu","dasmu","1","0"
"37","2018-02-22 10:48:07","vera","219","2","nOflE","nOflE","1","0"
"38","2018-02-22 10:48:10","vera","223","2","skEfi","dkafE","0","0.6"
"39","2018-02-22 10:48:17","vera","223","2","skEfi","skafE","0","0.4"
"40","2018-02-22 10:48:19","vera","226","2","blim","blim","1","0"
"41","2018-02-22 10:48:23","vera","228","2","nEsk","nEsk","1","0"
"42","2018-02-22 10:48:26","vera","270","2","blEkus","bnakus","0","0.333333"
"43","2018-02-22 10:48:29","vera","273","2","lOm","lOm","1","0"
"44","2018-02-22 10:48:32","vera","275","2","blaf","blaf","1","0"
"45","2018-02-22 10:48:35","vera","276","2","mif","mif","1","0"
"46","2018-02-22 10:48:40","vera","277","2","daf","daf","1","0"
"47","2018-02-22 10:48:43","vera","278","2","snid","flEd","0","0.75"
"48","2018-02-22 10:48:46","vera","279","2","nifs","nEfE","0","0.5"
"49","2018-02-22 10:48:57","vera","280","2","snibOl","flEbOl","0","0.5"
"50","2018-02-22 10:49:00","vera","281","2","flOb","flOb","1","0"
"51","2018-02-22 10:49:04","vera","282","2","kublE","kubna","0","0.4"
"52","2018-02-22 10:49:07","vera","330","2","flidu","flidu","1","0"
"53","2018-02-22 10:49:10","vera","337","2","slinab","nEfnEb","0","0.666667"
"54","2018-02-22 10:49:13","vera","344","2","nEf","nEf","1","0"
"55","2018-02-22 10:49:16","vera","348","2","mOls","mOls","1","0"
"56","2018-02-22 10:49:20","vera","353","2","snOf","snOf","1","0"
"57","2018-02-22 10:49:23","vera","357","2","smadu","smidu","0","0.2"
"58","2018-02-22 10:49:26","vera","359","2","nal","nal","1","0"
"59","2018-02-22 10:49:29","vera","362","2","balf","balf","1","0"
"60","2018-02-22 10:49:33","vera","363","2","dEsna","dEfna","0","0.2"
"61","2018-02-22 10:49:36","vera","364","2","flEsOd","slEsOd","0","0.166667"
"62","2018-02-22 10:49:39","vera","384","2","klOda","klOda","1","0"
"63","2018-02-22 10:49:42","vera","386","2","blEkus","Ekus","0","0.333333"
"64","2018-02-22 10:49:46","vera","387","2","kublE","kubnE","0","0.2"
"65","2018-02-22 10:49:49","vera","388","2","flOb","flOb","1","0"
"66","2018-02-22 10:49:53","vera","389","2","klusim","klusim","1","0"
"67","2018-02-22 10:49:56","vera","390","2","dikla","dEkla","0","0.2"
"68","2018-02-22 10:49:59","vera","391","2","mOls","mOls","1","0"
"69","2018-02-22 10:50:02","vera","392","2","fOns","fOns","1","0"
"70","2018-02-22 10:50:06","vera","394","2","skOnEf","skOnEf","1","0"
"71","2018-02-22 10:50:10","vera","397","2","blim","blim","1","0"
"72","2018-02-22 10:50:13","vera","403","2","slOku","slOku","1","0"
"73","2018-02-22 10:50:16","vera","405","2","skub","skub","1","0"
"74","2018-02-22 10:50:20","vera","407","2","bEsmi","blEsmE","0","0.333333"
"75","2018-02-22 10:50:24","vera","409","2","luskO","luskO","1","0"
"76","2018-02-22 10:50:27","vera","410","2","skEfi","skEfE","0","0.2"
"77","2018-02-22 10:50:33","vera","414","2","flabun","flEbun","0","0.166667"
"78","2018-02-22 10:50:36","vera","415","2","klufE","klufE","1","0"
"79","2018-02-22 10:50:39","vera","419","2","slinab","slEnEf","0","0.5"
"80","2018-02-22 10:50:42","vera","422","2","mab","mib","0","0.333333"
"81","2018-02-22 10:50:45","vera","424","2","lOm","lOm","1","0"
"82","2018-02-22 10:50:48","vera","428","2","flidu","flEdu","0","0.2"
"83","2018-02-22 10:50:52","vera","431","2","dEsna","dEfnE","0","0.4"
"84","2018-02-22 10:50:55","vera","435","2","blaf","blEf","0","0.25"
"85","2018-02-22 10:50:59","vera","437","2","snibOl","snEbOl","0","0.166667"
"86","2018-02-22 10:51:04","vera","438","2","mif","mEf","0","0.333333"
"87","2018-02-22 10:51:10","vera","440","2","dOlk","dOk","0","0.25"
"88","2018-02-22 10:51:14","vera","441","2","flEsOd","flEsOd","1","0"
"89","2018-02-22 10:51:17","vera","442","2","nEsk","nEsk","1","0"
"90","2018-02-22 10:51:20","vera","443","2","daf","daf","1","0"
"91","2018-02-22 10:51:23","vera","445","2","suld","suld","1","0"
"92","2018-02-22 10:51:26","vera","447","2","fub","fub","1","0"
"93","2018-02-22 10:51:29","vera","448","2","nEf","nEf","1","0"
"94","2018-02-22 10:51:33","vera","451","2","klEb","klEb","1","0"
"95","2018-02-22 10:51:36","vera","452","2","balf","balf","1","0"
"96","2018-02-22 10:51:39","vera","455","2","snid","slid","0","0.25"
"97","2018-02-22 10:51:43","vera","459","2","smadu","smadu","1","0"
"98","2018-02-22 10:51:46","vera","463","2","nifs","nifs","1","0"
"99","2018-02-22 10:51:49","vera","467","2","snOf","slOf","0","0.25"
"100","2018-02-22 10:51:53","vera","470","2","smiba","smiba","1","0"
"101","2018-02-22 10:51:56","vera","473","2","nal","nal","1","0"
