"trial_id","timestamp","session_number","session_trial_id","section","section_trial_id","word_id","novel_word_for_task","exposure_count","picture_id","word_length","target","participant_input","correct","edit_distance"
"1","2018-01-10 10:25:45","1","1","R_TR1","1","2","0","1","007","3","fub","tEst","0","1"
"2","2018-01-10 10:26:13","1","2","R_TR1","2","32","0","1","211","5","smadu","smadu","1","0"
"3","2018-01-10 10:26:43","1","3","R_TR1","3","5","0","1","167","3","nal","nal","1","0"
"4","2018-01-10 10:27:04","1","4","R_TR1","4","27","0","1","224","5","bEsmi","bEsmi","1","0"
"5","2018-01-10 10:27:33","1","5","R_TR1","5","8","0","1","228","4","snid","fnid","0","0.25"
"6","2018-01-10 10:28:13","1","6","R_TR1","6","4","0","1","179","3","mif","mif","1","0"
"7","2018-01-10 10:28:46","1","7","R_TR1","7","40","0","1","215","6","flEsOd","flEsOd","1","0"
"8","2018-01-10 10:29:03","1","8","R_TR1","8","20","0","1","180","4","nifs","nifs","1","0"
"9","2018-01-10 10:29:19","1","9","R_TR1","9","29","0","1","030","5","smiba","smiba","1","0"
"10","2018-01-10 10:29:38","1","10","R_TR1","10","10","0","1","203","4","blim","bnim","0","0.25"
"11","2018-01-10 10:39:37","1","21","R_TR2","1","26","0","2","115","5","kublE","kubnE","0","0.2"
"12","2018-01-10 10:40:04","1","22","R_TR2","2","25","0","2","027","5","dasmu","dasmu","1","0"
"13","2018-01-10 10:40:22","1","23","R_TR2","3","13","0","2","072","4","flOb","flOb","1","0"
"14","2018-01-10 10:40:32","1","24","R_TR2","4","6","0","2","006","3","lOm","lOm","1","0"
"15","2018-01-10 10:40:49","1","25","R_TR2","5","34","0","2","185","5","flidu","flidu","1","0"
"16","2018-01-10 10:41:08","1","26","R_TR2","6","11","0","2","081","4","blaf","bnaf","0","0.25"
"17","2018-01-10 10:41:33","1","27","R_TR2","7","9","0","2","083","4","snOf","fnOf","0","0.25"
"18","2018-01-10 10:41:57","1","28","R_TR2","8","1","0","2","236","3","nEf","nEf","1","0"
"19","2018-01-10 10:42:12","1","29","R_TR2","9","18","0","2","053","4","fOns","fOns","1","0"
"20","2018-01-10 10:42:35","1","30","R_TR2","10","37","0","2","076","6","blEkus","bnEkus","0","0.166667"
