"input_id","session_number","language","self_rating"
"1","1","English","5"
"2","1","German","5"
"3","1","Czech","3"
"4","1","Spanish","1"
"5","2","English","5"
"6","4","English","5"
"7","4","Finnish","1"
"8","4","Japanese","2"
"9","4","German","1"
"10","4","Mandarin","1"
"11","6","English","5"
"12","6","Polish","5"
"13","7","English","4"
"14","8","English","5"
"15","8","french","1"
"16","9","English","5"
"17","10","English","5"
"18","10","Spanish","1"
"19","10","French","1"
"20","11","English","5"
"21","11","Yoruba","5"
"22","11","French","2"
"23","11","Arabic","3"
"24","12","English","5"
"25","13","English","5"
"26","14","English","4"
"27","15","English","5"
"28","16","English","5"
"29","16","French","2"
"30","16","German","1"
"31","16","Dutch","1"
"32","16","Japanese","1"
"33","17","English","5"
"34","18","English","5"
"35","18","Spanish","3"
"36","19","English","5"
"37","19","Spanish ","5"
"38","20","English","5"
"39","21","English","5"
"40","21","Punjabi","5"
"41","22","English","4"
"42","22","French","3"
"43","23","English","5"
"44","25","English","5"
"45","26","English","5"
"46","27","English","5"
"47","27","French","1"
"48","27","Spanish","1"
"49","28","English","1"
"50","29","English","5"
"51","30","English","5"
"52","31","English","5"
"53","31","german","2"
"54","31","bsl","1"
"55","31","french","1"
"56","31","spanish","1"
"57","32","English","5"
"58","33","English","5"
"59","35","English","5"
"60","36","English","5"
"61","36","French","1"
"62","36","German","1"
"63","37","English","5"
"64","41","English","5"
"65","42","English","5"
"66","43","English","5"
"67","43","Punjabi","5"
"68","43","German","3"
"69","43","French","1"
"70","44","English","5"
"71","46","English","5"
"72","47","English","5"
"73","47","german","3"
"74","47","french","1"
"75","48","English","5"
"76","50","English","5"
"77","49","English","5"
"78","52","English","5"
"79","54","English","4"
"80","54","Hungarian","5"
"81","55","English","5"
"82","55","German","1"
"83","55","Spanish","1"
"84","56","English","5"
"85","56","Swedish","3"
"86","56","French","1"
"87","56","Spanish","1"
"88","57","English","1"
"89","58","English","5"
"90","58","Welsh","3"
"91","58","French","2"
"92","59","English","5"
"93","61","English","5"
"94","60","English","5"
"95","60","French","1"
"96","62","English","5"
"97","63","English","5"
"98","63","Italian","4"
"99","63","French","3"
"100","63","German","2"
"101","63","Arabic","1"
"102","64","English","5"
"103","65","English","5"
"104","65","Portuguese","4"
"105","65","French","4"
"106","66","English","5"
"107","67","English","5"
"108","70","English","5"
"109","70","german","1"
"110","71","English","5"
"111","72","English","5"
"112","73","English","5"
"113","73","German","1"
"114","74","English","5"
"115","75","English","5"
"116","76","English","5"
"117","77","English","5"
"118","77","Bengali","5"
"119","78","English","5"
"120","78","french","2"
"121","79","English","5"
"122","79","French","2"
"123","79","Spanish","2"
"124","80","English","5"
"125","80","Serbian","4"
"126","80","French","3"
"127","81","English","5"
"128","82","English","1"
"129","83","English","5"
"130","84","English","5"
"131","85","English","5"
"132","86","English","5"
"133","88","English","4"
"134","88","French","2"
"135","88","Spanish","2"
"136","91","English","5"
"137","92","English","5"
"138","92","Norwegian","2"
"139","92","French","2"
"140","93","English","2"
"141","93","polish","5"
"142","93","rusian","1"
"143","93","English","2"
"144","93","polish","5"
"145","93","rusian","1"
"146","95","English","5"
"147","97","English","5"
"148","99","English","3"
"149","99","english","4"
"150","101","English","5"
"151","101","Cantonese","4"
"152","102","English","5"
"153","102","Bengali","5"
"154","106","English","5"
"155","106","French ","2"
"156","108","English","5"
"157","108","French","1"
"158","109","English","5"
"159","109","French","5"
"160","109","Italian","1"
"161","110","English","5"
"162","112","English","5"
"163","113","English","5"
"164","115","English","5"
"165","116","English","5"
"166","116","French","2"
"167","117","English","5"
"168","119","English","5"
"169","120","English","5"
"170","120","French","2"
"171","120","German","2"
"172","120","Telugu","1"
"173","124","English","5"
"174","125","English","5"
"175","126","English","5"
"176","126","dutch","3"
"177","127","English","5"
"178","128","English","5"
"179","129","English","5"
"180","130","English","5"
"181","130","French","2"
"182","130","German","1"
"183","131","English","5"
"184","132","English","5"
"185","132","French","1"
"186","132","German","1"
"187","133","English","5"
"188","134","English","5"
"189","135","English","5"
"190","137","English","5"
"191","138","English","5"
"192","141","English","5"
"193","141","Maori","1"
"194","141","German","1"
"195","142","English","5"
"196","142","French","3"
"197","142","German","2"
"198","142","Japanese","1"
"199","143","English","5"
"200","144","English","5"
"201","145","English","5"
"202","146","English","5"
"203","147","English","5"
"204","147","ASL","2"
"205","147","Spanish","1"
"206","148","English","5"
"207","148","Yoruba","5"
"208","148","French","2"
"209","148","Spanish","1"
"210","149","English","5"
"211","150","English","5"
"212","151","English","5"
"213","152","English","5"
"214","153","English","5"
"215","154","English","5"
"216","155","English","5"
"217","156","English","5"
"218","157","English","5"
"219","157","Afrikaans","3"
"220","158","English","5"
"221","159","English","3"
"222","159","Cantonese","5"
"223","161","English","5"
"224","161","French","1"
"225","162","English","5"
"226","162","American Sign Language","2"
"227","163","English","5"
"228","163","Norwegin","1"
"229","164","English","5"
"230","164","Russian","5"
"231","165","English","5"
"232","166","English","5"
"233","167","English","5"
"234","168","English","5"
"235","170","English","5"
"236","169","English","5"
"237","169","French","2"
"238","169","Spanish","1"
"239","171","English","5"
"240","171","spanish","2"
"241","172","English","5"
"242","172","welsh","3"
"243","172","thai","2"
"244","173","English","5"
"245","174","English","5"
"246","176","English","4"
"247","176","english","4"
"248","177","English","5"
"249","178","English","5"
"250","179","English","5"
"251","179","French","3"
"252","179","Spanish","1"
"253","180","English","5"
"254","180","French","2"
"255","181","English","5"
"256","182","English","5"
"257","183","English","1"
"258","184","English","5"
"259","185","English","5"
"260","186","English","1"
"261","187","English","5"
"262","187","French","3"
"263","187","Spanish","1"
"264","188","English","5"
"265","188","Afrikaans","5"
"266","189","English","5"
"267","190","English","5"
"268","191","English","5"
"269","191","French","3"
"270","192","English","5"
"271","192","French","1"
"272","193","English","5"
"273","194","English","5"
"274","196","English","5"
"275","197","English","5"
"276","197","Welsh","1"
"277","198","English","5"
"278","198","French","1"
"279","199","English","5"
"280","199","French","4"
"281","199","German","3"
"282","199","Vietnamese","5"
"283","200","English","5"
"284","201","English","5"
"285","203","English","5"
"286","204","English","5"
"287","205","English","5"
"288","206","English","5"
"289","207","English","5"
"290","208","English","5"
"291","209","English","5"
"292","209","French","1"
"293","209","Hebrew","1"
"294","210","English","5"
"295","210","Spanish","2"
"296","211","English","5"
"297","212","English","5"
"298","213","English","5"
"299","213","Spanish","2"
"300","214","English","5"
"301","215","English","5"
"302","215","Spanish","1"
"303","216","English","5"
"304","217","English","5"
"305","218","English","5"
"306","218","French","2"
"307","218","Irish","1"
"308","219","English","5"
"309","220","English","5"
"310","220","French","1"
"311","221","English","5"
"312","222","English","5"
"313","223","English","5"
"314","224","English","5"
"315","225","English","5"
"316","226","English","5"
"317","227","English","5"
"318","229","English","5"
"319","231","English","5"
"320","231","Spanish","4"
"321","232","English","5"
"322","232","Mandarin Chinese","1"
"323","232","Latin","2"
"324","233","English","5"
"325","234","English","5"
"326","234","Slovak","1"
"327","234","Modern Greek","1"
"328","234","French","2"
"329","234","Ancient Greek","1"
"330","234","Latin","1"
"331","235","English","5"
"332","236","English","5"
"333","236","spanish","4"
"334","237","English","5"
"335","237","Mandarin","1"
"336","238","English","5"
"337","239","English","5"
"338","239","French","2"
"339","239","Mandarin Chinese","2"
"340","240","English","5"
"341","240","Japanese","1"
"342","241","English","5"
"343","241","english","5"
"344","242","English","5"
"345","243","English","5"
"346","243","French","3"
"347","243","Spanish","1"
"348","243","German","1"
"349","244","English","5"
"350","245","English","5"
"351","245","Spanish","5"
"352","245","French","4"
"353","245","German","4"
"354","246","English","5"
"355","246","French","2"
"356","247","English","5"
"357","248","English","5"
"358","248","Spanish","2"
"359","248","French","1"
"360","248","Greek","1"
"361","249","English","5"
"362","250","English","5"
"363","251","English","5"
"364","252","English","5"
"365","253","English","5"
"366","254","English","5"
"367","255","English","5"
"368","256","English","5"
"369","258","English","5"
"370","257","English","5"
"371","257","pushto","2"
"372","259","English","4"
"373","260","English","5"
"374","260","italian","5"
"375","261","English","5"
"376","263","English","5"
