"trial_id","timestamp","session_number","session_trial_id","section","section_trial_id","word_id","novel_word_for_task","exposure_count","picture_id","word_length","target","participant_input","correct","edit_distance"
"1","2018-01-10 10:32:12","1","11","W_TR1","1","40","0","2","215","6","flEsOd","flEsOd","1","0"
"2","2018-01-10 10:32:32","1","12","W_TR1","2","29","0","2","030","5","smiba","smiba","1","0"
"3","2018-01-10 10:32:50","1","13","W_TR1","3","32","0","2","211","5","smadu","smadu","1","0"
"4","2018-01-10 10:33:09","1","14","W_TR1","4","10","0","2","203","4","bnim","blim","0","0.25"
"5","2018-01-10 10:33:38","1","15","W_TR1","5","2","0","2","007","3","fub","fub","1","0"
"6","2018-01-10 10:33:59","1","16","W_TR1","6","20","0","2","180","4","nifs","nifs","1","0"
"7","2018-01-10 10:34:10","1","17","W_TR1","7","4","0","2","179","3","mif","mif","1","0"
"8","2018-01-10 10:34:28","1","18","W_TR1","8","27","0","2","224","5","bEsmi","bEfmi","0","0.2"
"9","2018-01-10 10:35:01","1","19","W_TR1","9","8","0","2","228","4","fnid","snid","0","0.25"
"10","2018-01-10 10:35:29","1","20","W_TR1","10","5","0","2","167","3","nal","nal","1","0"
"11","2018-01-10 10:43:07","1","31","W_TR2","1","9","0","3","083","4","fnOf","snOf","0","0.25"
"12","2018-01-10 10:43:29","1","32","W_TR2","2","25","0","3","027","5","dasmu","dasmu","1","0"
"13","2018-01-10 10:43:49","1","33","W_TR2","3","1","0","3","236","3","nEf","nEf","1","0"
"14","2018-01-10 10:44:00","1","34","W_TR2","4","18","0","3","053","4","fOns","fOns","1","0"
"15","2018-01-10 10:44:17","1","35","W_TR2","5","26","0","3","115","5","kubnE","kublE","0","0.2"
"16","2018-01-10 10:44:37","1","36","W_TR2","6","11","0","3","081","4","bnaf","blaf","0","0.25"
"17","2018-01-10 10:44:56","1","37","W_TR2","7","6","0","3","006","3","lOm","lOm","1","0"
"18","2018-01-10 10:45:36","1","38","W_TR2","8","34","0","3","185","5","flidu","flidu","1","0"
"19","2018-01-10 10:45:57","1","39","W_TR2","9","37","0","3","076","6","bnEkus","blEkus","0","0.166667"
"20","2018-01-10 10:46:12","1","40","W_TR2","10","13","0","3","072","4","flOb","flOb","1","0"
"21","2018-01-10 10:51:24","1","51","W_TR3","1","30","0","4","104","5","skEfi","skEfi","1","0"
"22","2018-01-10 10:51:48","1","52","W_TR3","2","15","0","4","122","4","balf","balf","1","0"
"23","2018-01-10 10:52:06","1","53","W_TR3","3","24","0","4","091","5","dEfna","dEsna","0","0.2"
"24","2018-01-10 10:52:22","1","54","W_TR3","4","35","0","4","094","5","fnOku","slOku","0","0.4"
"25","2018-01-10 10:52:53","1","55","W_TR3","5","38","0","4","241","6","fnibOl","snibOl","0","0.166667"
"26","2018-01-10 10:53:15","1","56","W_TR3","6","41","0","4","049","6","fninab","slinab","0","0.333333"
"27","2018-01-10 10:53:29","1","57","W_TR3","7","7","0","4","022","3","daf","daf","1","0"
"28","2018-01-10 10:53:54","1","58","W_TR3","8","17","0","4","257","4","mOls","mOls","1","0"
"29","2018-01-10 10:54:16","1","59","W_TR3","9","22","0","4","055","5","nOflE","nOflE","1","0"
"30","2018-01-10 10:54:31","1","60","W_TR3","10","21","0","4","242","4","nEsk","nEsk","1","0"
"31","2018-01-10 10:58:23","1","71","W_TR4","1","29","1","7","030","5","smiba","smiba","1","0"
"32","2018-01-10 10:58:35","1","72","W_TR4","2","5","1","7","167","3","nal","nal","1","0"
"33","2018-01-10 10:58:47","1","73","W_TR4","3","4","1","7","179","3","mif","mif","1","0"
"34","2018-01-10 10:59:05","1","74","W_TR4","4","32","1","7","211","5","smadu","fmadu","0","0.2"
"35","2018-01-10 10:59:23","1","75","W_TR4","5","34","1","7","185","5","flidu","flidu","1","0"
"36","2018-01-10 10:59:35","1","76","W_TR4","6","25","1","7","027","5","dasmu","dasmu","1","0"
"37","2018-01-10 10:59:47","1","77","W_TR4","7","13","1","7","072","4","flOb","flOb","1","0"
"38","2018-01-10 11:00:03","1","78","W_TR4","8","22","1","7","055","5","nOflE","nOflE","1","0"
"39","2018-01-10 11:00:15","1","79","W_TR4","9","15","1","7","122","4","balf","balf","1","0"
"40","2018-01-10 11:00:30","1","80","W_TR4","10","26","1","7","115","5","kubnE","kublE","0","0.2"
"41","2018-01-10 11:04:18","1","91","W_TR5","1","7","1","8","022","3","daf","daf","1","0"
"42","2018-01-10 11:04:29","1","92","W_TR5","2","2","1","8","007","3","fub","fub","1","0"
"43","2018-01-10 11:04:48","1","93","W_TR5","3","21","1","8","242","4","nEsk","nEsk","1","0"
"44","2018-01-10 11:05:19","1","94","W_TR5","4","41","1","8","049","6","fninab","flinab","0","0.166667"
"45","2018-01-10 11:05:39","1","95","W_TR5","5","17","1","8","257","4","mOls","mOls","1","0"
"46","2018-01-10 11:05:53","1","96","W_TR5","6","24","1","8","091","5","dEfna","dEsna","0","0.2"
"47","2018-01-10 11:06:17","1","97","W_TR5","7","27","1","8","224","5","bEsmi","bEsmi","1","0"
"48","2018-01-10 11:06:34","1","98","W_TR5","8","30","1","8","104","5","skEfi","skEfi","1","0"
"49","2018-01-10 11:06:45","1","99","W_TR5","9","40","1","8","215","6","flEsOd","flEsOd","1","0"
"50","2018-01-10 11:06:57","1","100","W_TR5","10","18","1","8","053","4","fOns","fOns","1","0"
"51","2018-01-10 11:10:00","1","111","W_TR6","1","38","1","9","241","6","fnibOl","snibOl","0","0.166667"
"52","2018-01-10 11:10:25","1","112","W_TR6","2","35","1","9","094","5","fnOku","slOku","0","0.4"
"53","2018-01-10 11:10:51","1","113","W_TR6","3","20","1","9","180","4","nifs","nifs","1","0"
"54","2018-01-10 11:11:00","1","114","W_TR6","4","6","1","9","006","3","lOm","lOm","1","0"
"55","2018-01-10 11:11:12","1","115","W_TR6","5","11","1","9","081","4","bnaf","blaf","0","0.25"
"56","2018-01-10 11:11:32","1","116","W_TR6","6","9","1","9","083","4","fnOf","snOf","0","0.25"
"57","2018-01-10 11:11:55","1","117","W_TR6","7","37","1","9","076","6","bnEkus","blEkus","0","0.166667"
"58","2018-01-10 11:12:16","1","118","W_TR6","8","8","1","9","228","4","fnid","snid","0","0.25"
"59","2018-01-10 11:12:26","1","119","W_TR6","9","10","1","9","203","4","bnim","blim","0","0.25"
"60","2018-01-10 11:12:39","1","120","W_TR6","10","1","1","9","236","3","nEf","nEf","1","0"
"61","2018-01-10 11:20:26","1","163","W_TEST","1","18","1","11","053","4","fOns","fOns","1","0"
"62","2018-01-10 11:20:36","1","164","W_TEST","2","23","0","1","168","5","dikla","dikla","1","0"
"63","2018-01-10 11:20:52","1","165","W_TEST","3","24","1","11","091","5","dEfna","dEsna","0","0.2"
"64","2018-01-10 11:21:19","1","166","W_TEST","4","42","0","1","047","6","flabun","flabOn","0","0.166667"
"65","2018-01-10 11:21:31","1","167","W_TEST","5","41","1","11","049","6","fninab","slinab","0","0.333333"
"66","2018-01-10 11:21:48","1","168","W_TEST","6","29","1","11","030","5","smiba","smiba","1","0"
"67","2018-01-10 11:22:03","1","169","W_TEST","7","17","1","11","257","4","mOls","mOls","1","0"
"68","2018-01-10 11:22:14","1","170","W_TEST","8","21","1","11","242","4","nEsk","nEsk","1","0"
"69","2018-01-10 11:22:29","1","171","W_TEST","9","20","1","11","180","4","nifs","nifs","1","0"
"70","2018-01-10 11:22:50","1","172","W_TEST","10","40","1","11","215","6","flEsOd","flEsOd","1","0"
"71","2018-01-10 11:23:00","1","173","W_TEST","11","1","1","11","236","3","nEf","nEf","1","0"
"72","2018-01-10 11:23:06","1","174","W_TEST","12","7","1","11","022","3","daf","daf","1","0"
"73","2018-01-10 11:23:23","1","175","W_TEST","13","37","1","11","076","6","bnEkus","blEkus","0","0.166667"
"74","2018-01-10 11:23:38","1","176","W_TEST","14","31","0","1","073","5","klufE","klufE","1","0"
"75","2018-01-10 11:23:53","1","177","W_TEST","15","27","1","11","224","5","bEsmi","bEsmi","1","0"
"76","2018-01-10 11:24:03","1","178","W_TEST","16","12","0","1","182","4","skub","skub","1","0"
"77","2018-01-10 11:24:18","1","179","W_TEST","17","26","1","11","115","5","kubnE","kublE","0","0.2"
"78","2018-01-10 11:24:31","1","180","W_TEST","18","30","1","11","104","5","skEfi","skEfi","1","0"
"79","2018-01-10 11:24:43","1","181","W_TEST","19","10","1","11","203","4","bnim","blim","0","0.25"
"80","2018-01-10 11:24:54","1","182","W_TEST","20","8","1","11","228","4","fnid","snid","0","0.25"
"81","2018-01-10 11:25:05","1","183","W_TEST","21","35","1","11","094","5","fnOku","slOku","0","0.4"
"82","2018-01-10 11:25:16","1","184","W_TEST","22","11","1","11","081","4","bnaf","blaf","0","0.25"
"83","2018-01-10 11:25:27","1","185","W_TEST","23","14","0","1","237","4","klEb","klEb","1","0"
"84","2018-01-10 11:25:41","1","186","W_TEST","24","32","1","11","211","5","smadu","smadu","1","0"
"85","2018-01-10 11:25:50","1","187","W_TEST","25","25","1","11","027","5","dasmu","dasmu","1","0"
"86","2018-01-10 11:26:00","1","188","W_TEST","26","16","0","1","088","4","dOlk","dOlk","1","0"
"87","2018-01-10 11:26:09","1","189","W_TEST","27","13","1","11","072","4","flOb","flOb","1","0"
