participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
1,dialect,opaque,picture,RW,male,45,f,Czech,3,3,4,2018-01-10T10:14:22Z,2018-01-10T11:29:29Z,4507s (~1.25 hours)
1,dialect,opaque,picture,RW,male,45,f,German,5,3,4,2018-01-10T10:14:22Z,2018-01-10T11:29:29Z,4507s (~1.25 hours)
1,dialect,opaque,picture,RW,male,45,f,English,5,3,4,2018-01-10T10:14:22Z,2018-01-10T11:29:29Z,4507s (~1.25 hours)
1,dialect,opaque,picture,RW,male,45,f,Spanish,1,3,4,2018-01-10T10:14:22Z,2018-01-10T11:29:29Z,4507s (~1.25 hours)
2,dialect,opaque,picture,RW,male,39,f,English,5,4,5,2018-02-07T11:25:58Z,2018-02-07T12:55:34Z,5376s (~1.49 hours)
4,dialect,opaque,picture,RW,male,33,f,Finnish,1,4,5,2018-02-07T11:30:40Z,2018-02-07T12:30:54Z,3614s (~1 hours)
4,dialect,opaque,picture,RW,male,33,f,Chinese (Mandarin),1,4,5,2018-02-07T11:30:40Z,2018-02-07T12:30:54Z,3614s (~1 hours)
4,dialect,opaque,picture,RW,male,33,f,Japanese,2,4,5,2018-02-07T11:30:40Z,2018-02-07T12:30:54Z,3614s (~1 hours)
4,dialect,opaque,picture,RW,male,33,f,English,5,4,5,2018-02-07T11:30:40Z,2018-02-07T12:30:54Z,3614s (~1 hours)
4,dialect,opaque,picture,RW,male,33,f,German,1,4,5,2018-02-07T11:30:40Z,2018-02-07T12:30:54Z,3614s (~1 hours)
6,dialect,opaque,picture,RW,male,36,f,Polish,5,5,5,2018-02-07T11:41:04Z,2018-02-07T13:01:24Z,4820s (~1.34 hours)
6,dialect,opaque,picture,RW,male,36,f,English,5,5,5,2018-02-07T11:41:04Z,2018-02-07T13:01:24Z,4820s (~1.34 hours)
7,dialect,opaque,picture,RW,male,50,f,English,4,5,5,2018-02-07T11:45:28Z,2018-02-07T13:45:06Z,7178s (~1.99 hours)
8,dialect,opaque,picture,RW,male,35,f,English,5,4,4,2018-02-07T11:55:17Z,2018-02-07T13:08:12Z,4375s (~1.22 hours)
8,dialect,opaque,picture,RW,male,35,f,French,1,4,4,2018-02-07T11:55:17Z,2018-02-07T13:08:12Z,4375s (~1.22 hours)
9,dialect,opaque,picture,RW,male,20,f,English,5,1,5,2018-02-07T12:36:01Z,2018-02-07T13:27:37Z,3096s (~51.6 minutes)
10,dialect,opaque,picture,RW,male,21,m,French,1,4,3,2018-02-07T16:22:57Z,2018-02-07T17:30:15Z,4038s (~1.12 hours)
10,dialect,opaque,picture,RW,male,21,m,Spanish,1,4,3,2018-02-07T16:22:57Z,2018-02-07T17:30:15Z,4038s (~1.12 hours)
10,dialect,opaque,picture,RW,male,21,m,English,5,4,3,2018-02-07T16:22:57Z,2018-02-07T17:30:15Z,4038s (~1.12 hours)
11,standard,opaque,picture,RW,male,25,m,Yoruba,5,5,3,2018-02-08T10:11:54Z,2018-02-08T11:45:26Z,5612s (~1.56 hours)
11,standard,opaque,picture,RW,male,25,m,English,5,5,3,2018-02-08T10:11:54Z,2018-02-08T11:45:26Z,5612s (~1.56 hours)
11,standard,opaque,picture,RW,male,25,m,French,2,5,3,2018-02-08T10:11:54Z,2018-02-08T11:45:26Z,5612s (~1.56 hours)
11,standard,opaque,picture,RW,male,25,m,Arabic,3,5,3,2018-02-08T10:11:54Z,2018-02-08T11:45:26Z,5612s (~1.56 hours)
12,standard,opaque,picture,RW,male,26,m,English,5,3,5,2018-02-08T10:25:20Z,2018-02-08T12:25:48Z,7228s (~2.01 hours)
14,standard,opaque,picture,RW,male,54,f,English,4,3,4,2018-02-08T10:38:12Z,2018-02-08T12:04:33Z,5181s (~1.44 hours)
17,standard,opaque,picture,RW,male,28,m,English,5,5,5,2018-02-08T11:19:43Z,2018-02-08T12:28:34Z,4131s (~1.15 hours)
18,standard,opaque,picture,RW,male,38,m,English,5,4,4,2018-02-08T12:04:02Z,2018-02-08T14:04:28Z,7226s (~2.01 hours)
18,standard,opaque,picture,RW,male,38,m,Spanish,3,4,4,2018-02-08T12:04:02Z,2018-02-08T14:04:28Z,7226s (~2.01 hours)
19,standard,opaque,picture,RW,male,30,f,Spanish ,5,3,3,2018-02-08T13:23:02Z,2018-02-08T15:05:01Z,6119s (~1.7 hours)
19,standard,opaque,picture,RW,male,30,f,English,5,3,3,2018-02-08T13:23:02Z,2018-02-08T15:05:01Z,6119s (~1.7 hours)
20,standard,opaque,picture,RW,male,26,m,English,5,2,5,2018-02-08T19:05:15Z,2018-02-08T20:14:09Z,4134s (~1.15 hours)
22,dialect,opaque,picture,WR,male,38,m,English,4,4,4,2018-02-09T10:08:05Z,2018-02-09T11:27:33Z,4768s (~1.32 hours)
22,dialect,opaque,picture,WR,male,38,m,French,3,4,4,2018-02-09T10:08:05Z,2018-02-09T11:27:33Z,4768s (~1.32 hours)
25,dialect,opaque,picture,WR,male,48,f,English,5,4,4,2018-02-09T10:36:48Z,2018-02-09T13:06:49Z,9001s (~2.5 hours)
27,dialect,opaque,picture,WR,male,30,m,French,1,4,4,2018-02-09T10:39:29Z,2018-02-09T12:07:39Z,5290s (~1.47 hours)
27,dialect,opaque,picture,WR,male,30,m,Spanish,1,4,4,2018-02-09T10:39:29Z,2018-02-09T12:07:39Z,5290s (~1.47 hours)
27,dialect,opaque,picture,WR,male,30,m,English,5,4,4,2018-02-09T10:39:29Z,2018-02-09T12:07:39Z,5290s (~1.47 hours)
29,dialect,opaque,picture,WR,male,30,m,English,5,5,5,2018-02-09T14:14:55Z,2018-02-09T15:57:37Z,6162s (~1.71 hours)
31,dialect,opaque,picture,WR,male,29,f,Spanish,1,5,5,2018-02-09T14:34:29Z,2018-02-09T15:43:08Z,4119s (~1.14 hours)
31,dialect,opaque,picture,WR,male,29,f,BSL,1,5,5,2018-02-09T14:34:29Z,2018-02-09T15:43:08Z,4119s (~1.14 hours)
31,dialect,opaque,picture,WR,male,29,f,German,2,5,5,2018-02-09T14:34:29Z,2018-02-09T15:43:08Z,4119s (~1.14 hours)
31,dialect,opaque,picture,WR,male,29,f,French,1,5,5,2018-02-09T14:34:29Z,2018-02-09T15:43:08Z,4119s (~1.14 hours)
31,dialect,opaque,picture,WR,male,29,f,English,5,5,5,2018-02-09T14:34:29Z,2018-02-09T15:43:08Z,4119s (~1.14 hours)
32,dialect,opaque,picture,WR,male,39,m,English,5,4,5,2018-02-09T14:36:06Z,2018-02-09T16:54:44Z,8318s (~2.31 hours)
36,dialect,opaque,picture,WR,male,29,m,French,1,4,5,2018-02-09T16:46:05Z,2018-02-09T19:06:43Z,8438s (~2.34 hours)
36,dialect,opaque,picture,WR,male,29,m,German,1,4,5,2018-02-09T16:46:05Z,2018-02-09T19:06:43Z,8438s (~2.34 hours)
36,dialect,opaque,picture,WR,male,29,m,English,5,4,5,2018-02-09T16:46:05Z,2018-02-09T19:06:43Z,8438s (~2.34 hours)
37,dialect,opaque,picture,WR,male,37,f,English,5,5,4,2018-02-09T18:46:44Z,2018-02-09T20:09:31Z,4967s (~1.38 hours)
41,standard,opaque,picture,WR,male,29,m,English,5,5,5,2018-02-11T15:15:53Z,2018-02-11T16:52:21Z,5788s (~1.61 hours)
42,standard,opaque,picture,WR,male,31,f,English,5,4,5,2018-02-11T15:18:57Z,2018-02-11T17:13:18Z,6861s (~1.91 hours)
46,standard,opaque,picture,WR,male,32,m,English,5,4,4,2018-02-11T16:37:57Z,2018-02-11T18:07:57Z,5400s (~1.5 hours)
48,standard,opaque,picture,WR,male,28,m,English,5,4,5,2018-02-11T18:14:33Z,2018-02-11T20:10:57Z,6984s (~1.94 hours)
50,standard,opaque,picture,WR,male,37,f,English,5,4,5,2018-02-11T18:27:21Z,2018-02-11T20:36:48Z,7767s (~2.16 hours)
52,standard,opaque,picture,WR,male,42,f,English,5,4,4,2018-02-11T20:17:26Z,2018-02-11T21:03:03Z,2737s (~45.62 minutes)
54,standard,opaque,picture,WR,male,60,f,Hungarian,5,5,5,2018-02-12T11:27:38Z,2018-02-12T12:42:32Z,4494s (~1.25 hours)
54,standard,opaque,picture,WR,male,60,f,English,4,5,5,2018-02-12T11:27:38Z,2018-02-12T12:42:32Z,4494s (~1.25 hours)
55,dialect,opaque,picture,RW,female,36,m,Spanish,1,4,5,2018-02-12T13:10:38Z,2018-02-12T14:34:23Z,5025s (~1.4 hours)
55,dialect,opaque,picture,RW,female,36,m,English,5,4,5,2018-02-12T13:10:38Z,2018-02-12T14:34:23Z,5025s (~1.4 hours)
55,dialect,opaque,picture,RW,female,36,m,German,1,4,5,2018-02-12T13:10:38Z,2018-02-12T14:34:23Z,5025s (~1.4 hours)
56,dialect,opaque,picture,RW,female,27,m,French,1,4,5,2018-02-12T13:12:58Z,2018-02-12T14:44:46Z,5508s (~1.53 hours)
56,dialect,opaque,picture,RW,female,27,m,Swedish,3,4,5,2018-02-12T13:12:58Z,2018-02-12T14:44:46Z,5508s (~1.53 hours)
56,dialect,opaque,picture,RW,female,27,m,English,5,4,5,2018-02-12T13:12:58Z,2018-02-12T14:44:46Z,5508s (~1.53 hours)
56,dialect,opaque,picture,RW,female,27,m,Spanish,1,4,5,2018-02-12T13:12:58Z,2018-02-12T14:44:46Z,5508s (~1.53 hours)
57,dialect,opaque,picture,RW,female,18,m,English,1,4,2,2018-02-12T13:18:32Z,2018-02-12T14:12:28Z,3236s (~53.93 minutes)
58,dialect,opaque,picture,RW,female,31,f,English,5,5,5,2018-02-12T13:20:52Z,2018-02-12T14:41:07Z,4815s (~1.34 hours)
58,dialect,opaque,picture,RW,female,31,f,French,2,5,5,2018-02-12T13:20:52Z,2018-02-12T14:41:07Z,4815s (~1.34 hours)
58,dialect,opaque,picture,RW,female,31,f,Welsh,3,5,5,2018-02-12T13:20:52Z,2018-02-12T14:41:07Z,4815s (~1.34 hours)
59,dialect,opaque,picture,RW,female,28,f,English,5,2,5,2018-02-12T13:31:51Z,2018-02-12T14:40:13Z,4102s (~1.14 hours)
61,dialect,opaque,picture,RW,female,41,f,English,5,5,5,2018-02-12T13:42:31Z,2018-02-12T14:53:48Z,4277s (~1.19 hours)
62,dialect,opaque,picture,RW,female,33,f,English,5,4,5,2018-02-12T13:54:20Z,2018-02-12T15:03:47Z,4167s (~1.16 hours)
63,standard,opaque,picture,RW,female,34,f,French,3,4,5,2018-02-12T15:25:32Z,2018-02-12T17:49:14Z,8622s (~2.4 hours)
63,standard,opaque,picture,RW,female,34,f,German,2,4,5,2018-02-12T15:25:32Z,2018-02-12T17:49:14Z,8622s (~2.4 hours)
