"","participant_number","orthography_condition","primary_coded","secondary_coded","N_trials"
"1",2,"opaque",102,102,102
"2",4,"opaque",102,102,102
"3",6,"opaque",102,102,102
"4",7,"opaque",101,101,102
"5",8,"opaque",102,102,102
"6",9,"opaque",101,101,102
"7",10,"opaque",102,102,102
"8",11,"opaque",102,102,102
"9",12,"opaque",102,102,102
"10",14,"opaque",101,101,102
"11",17,"opaque",102,102,102
"12",18,"opaque",102,102,102
"13",19,"opaque",101,101,102
"14",20,"opaque",102,102,102
"15",22,"opaque",101,100,102
"16",25,"opaque",102,102,102
"17",27,"opaque",102,102,102
"18",29,"opaque",102,102,102
"19",31,"opaque",102,102,102
"20",32,"opaque",102,102,102
"21",36,"opaque",102,102,102
"22",37,"opaque",102,102,102
"23",41,"opaque",102,102,102
"24",42,"opaque",102,102,102
"25",46,"opaque",101,101,102
"26",48,"opaque",102,102,102
"27",50,"opaque",102,102,102
"28",52,"opaque",102,102,102
"29",54,"opaque",102,102,102
"30",55,"opaque",102,102,102
"31",56,"opaque",102,102,102
"32",57,"opaque",102,102,102
"33",58,"opaque",102,102,102
"34",59,"opaque",102,102,102
"35",61,"opaque",102,102,102
"36",62,"opaque",102,102,102
"37",63,"opaque",102,102,102
"38",66,"opaque",102,102,102
"39",67,"opaque",102,102,102
"40",71,"opaque",102,102,102
"41",73,"opaque",102,102,102
"42",75,"opaque",102,102,102
"43",76,"opaque",102,102,102
"44",78,"opaque",102,102,102
"45",79,"opaque",102,102,102
"46",80,"opaque",102,102,102
"47",81,"opaque",102,102,102
"48",82,"opaque",102,102,102
"49",85,"opaque",102,102,102
"50",88,"opaque",102,102,102
"51",91,"opaque",102,102,102
"52",92,"opaque",101,101,102
"53",93,"opaque",102,102,102
"54",95,"opaque",102,102,102
"55",97,"opaque",102,102,102
"56",99,"opaque",102,102,102
"57",101,"opaque",102,102,102
"58",108,"opaque",102,102,102
"59",109,"opaque",101,101,102
"60",113,"opaque",102,101,102
"61",116,"opaque",102,102,102
"62",119,"opaque",101,101,102
"63",125,"opaque",100,100,100
"64",126,"opaque",102,102,102
"65",127,"opaque",102,102,102
"66",129,"opaque",102,102,102
"67",130,"opaque",102,102,102
"68",131,"opaque",102,101,102
"69",135,"opaque",102,102,102
"70",138,"opaque",102,102,102
"71",142,"opaque",102,102,102
"72",143,"opaque",102,102,102
"73",145,"opaque",102,102,102
"74",146,"opaque",102,102,102
"75",147,"opaque",102,102,102
"76",148,"opaque",102,102,102
"77",149,"opaque",101,101,102
"78",150,"opaque",102,102,102
"79",154,"opaque",102,102,102
"80",157,"opaque",102,102,102
"81",159,"opaque",102,102,102
"82",161,"opaque",102,102,102
"83",162,"opaque",101,101,101
"84",163,"opaque",100,100,102
"85",164,"opaque",101,101,102
"86",167,"opaque",101,101,102
"87",168,"opaque",102,102,102
"88",169,"opaque",102,102,102
"89",170,"opaque",102,102,102
"90",173,"opaque",102,102,102
"91",176,"opaque",98,98,102
"92",181,"opaque",102,102,102
"93",182,"opaque",102,102,102
"94",185,"opaque",102,102,102
"95",188,"opaque",102,102,102
"96",190,"opaque",102,102,102
"97",191,"opaque",100,100,100
"98",192,"opaque",102,102,102
"99",193,"opaque",101,101,102
"100",194,"opaque",102,102,102
"101",196,"opaque",101,101,102
"102",197,"opaque",102,102,102
"103",198,"opaque",102,102,102
"104",199,"opaque",102,102,102
"105",200,"opaque",102,102,102
"106",205,"opaque",102,102,102
"107",206,"opaque",102,102,102
"108",207,"opaque",102,102,102
"109",208,"opaque",102,102,102
"110",209,"opaque",102,102,102
"111",212,"opaque",101,101,102
"112",216,"opaque",102,102,102
"113",217,"opaque",102,102,102
"114",220,"opaque",102,102,102
"115",222,"opaque",102,102,102
"116",224,"opaque",101,101,102
"117",225,"opaque",102,102,102
"118",227,"opaque",102,102,102
"119",229,"opaque",101,101,102
"120",231,"opaque",102,102,102
"121",232,"opaque",102,102,102
"122",233,"opaque",102,102,102
"123",237,"opaque",102,102,102
"124",239,"opaque",97,97,102
"125",240,"opaque",102,102,102
"126",241,"opaque",84,83,102
"127",242,"opaque",100,100,100
"128",243,"opaque",102,102,102
"129",245,"opaque",102,102,102
"130",248,"opaque",102,102,102
"131",249,"opaque",102,100,102
"132",250,"opaque",102,102,102
"133",251,"opaque",102,102,102
"134",256,"opaque",102,102,102
"135",257,"opaque",102,102,102
"136",258,"opaque",101,102,102
"137",259,"opaque",102,102,102
"138",260,"opaque",102,101,102
"139",261,"opaque",102,102,102
"140",265,"opaque",102,102,102
"141",266,"opaque",102,102,102
"142",267,"opaque",101,101,102
"143",269,"opaque",102,102,102
"144",270,"opaque",102,102,102
"145",271,"opaque",102,102,102
"146",272,"opaque",102,102,102
"147",274,"opaque",102,102,102
"148",276,"opaque",102,102,102
"149",277,"opaque",102,102,102
"150",278,"opaque",102,101,102
"151",280,"opaque",101,101,102
"152",281,"opaque",102,102,102
"153",282,"opaque",102,102,102
"154",283,"opaque",102,102,102
"155",284,"opaque",102,102,102
"156",285,"opaque",102,102,102
"157",287,"opaque",102,102,102
"158",292,"opaque",99,0,102
"159",294,"opaque",102,0,102
"160",296,"opaque",102,0,102
