"participant_number"	"orthography_condition"	"mean_nLED"	"sd_nLED"	"median_submission_time"	"total_time"
"1"	1	"opaque"	0.08	0.14	10	4507s (~1.25 hours)
"2"	2	"opaque"	0.1	0.14	17	5376s (~1.49 hours)
"3"	4	"opaque"	0.05	0.14	9	3614s (~1 hours)
"4"	6	"opaque"	0.06	0.1	17	4820s (~1.34 hours)
"5"	7	"opaque"	0.8	0.21	11	7178s (~1.99 hours)
"6"	8	"opaque"	0.09	0.16	14	4375s (~1.22 hours)
"7"	9	"opaque"	0.58	0.26	8	3096s (~51.6 minutes)
"8"	10	"opaque"	0.07	0.16	9	4038s (~1.12 hours)
"9"	11	"opaque"	0.18	0.2	12	5612s (~1.56 hours)
"10"	12	"opaque"	0.14	0.19	21	7228s (~2.01 hours)
"11"	14	"opaque"	0.74	0.33	14	5181s (~1.44 hours)
"12"	17	"opaque"	0.72	0.39	6	4131s (~1.15 hours)
"13"	18	"opaque"	0.16	0.22	10	7226s (~2.01 hours)
"14"	19	"opaque"	0.3	0.28	15	6119s (~1.7 hours)
"15"	20	"opaque"	0.5	0.31	15	4134s (~1.15 hours)
"16"	22	"opaque"	0.71	0.25	9	4768s (~1.32 hours)
"17"	25	"opaque"	0.16	0.19	19	9001s (~2.5 hours)
"18"	27	"opaque"	0.04	0.11	17	5290s (~1.47 hours)
"19"	29	"opaque"	0.3	0.25	11	6162s (~1.71 hours)
"20"	31	"opaque"	0.03	0.09	9	4119s (~1.14 hours)
"21"	32	"opaque"	0.08	0.12	29	8318s (~2.31 hours)
"22"	36	"opaque"	0.05	0.12	9	8438s (~2.34 hours)
"23"	37	"opaque"	0.72	0.24	8	4967s (~1.38 hours)
"24"	41	"opaque"	0.05	0.09	11	5788s (~1.61 hours)
"25"	42	"opaque"	0.11	0.16	17	6861s (~1.91 hours)
"26"	46	"opaque"	0.49	0.28	11	5400s (~1.5 hours)
"27"	48	"opaque"	0.31	0.26	11	6984s (~1.94 hours)
"28"	50	"opaque"	0.06	0.15	13	7767s (~2.16 hours)
"29"	52	"opaque"	0.65	0.32	6	2737s (~45.62 minutes)
"30"	54	"opaque"	0.69	0.29	10	4494s (~1.25 hours)
"31"	55	"opaque"	0.16	0.17	15	5025s (~1.4 hours)
