"","participant_number","session_trial_id","target","target_lag","primary_coder_response","secondary_coder_response"
"1",7,5,"snid","mOls","bOls","mOls"
"2",12,8,"dasmu","dEsna","dEsna","dEsna"
"3",37,31,"nifs","nEsk","nEsk","nEsk"
"4",57,87,"kublE","nEf","nif","nEf"
"5",81,52,"smadu","flidu","snidu","flidu"
"6",81,80,"dEsna","daf","daf","?"
"7",82,11,"nEsk","nOflE","nOflE","nOflE"
"8",99,17,"fOns","skEfi","skEfi","skEfi"
"9",99,18,"snOf","fOns","fOns","fOns"
"10",99,19,"lOm","snOf","snOf","snOf"
"11",99,71,"fub","nOflE","nOfli","nOflE"
"12",129,11,"mif","balf","balf","balf"
"13",170,5,"smadu","nifs","nifs","nifs"
"14",170,87,"blaf","snibOl","snibOl","snibOl"
"15",176,2,"mif","smiba","smiba","smiba"
"16",176,3,"daf","mif","mif","nif"
"17",176,4,"flidu","daf","daf","baf"
"18",176,5,"blaf","flidu","flidu","flidu"
"19",176,7,"balf","fub","fub","fum"
"20",176,8,"lOm","balf","dalf","balf"
"21",176,9,"flEsOd","lOm","lOm","lOm"
"22",176,23,"flOb","nOflE","nOfli","nOflE"
"23",176,24,"nifs","flOb","flOb","flOb"
"24",176,25,"slOku","nifs","nifs","nifs"
"25",176,27,"dasmu","fOns","fOns","fOns"
"26",176,28,"bEsmi","dasmu","dasmu","dasmu"
"27",176,29,"skEfi","bEsmi","bEsmi","bEsmi"
"28",176,30,"snOf","skEfi","skEfi","skEfi"
"29",176,64,"dasmu","flEsOd","flEsOlfd","flEsOd"
"30",176,65,"dEsna","dasmu","dasmu","dasnu"
"31",176,66,"fOns","dEsna","dEsna","Efna"
"32",176,68,"blaf","flidu","flidu","flidu"
"33",176,69,"nEf","blaf","blaf","laf"
"34",176,70,"blEkus","nEf","nEf","nEf"
"35",176,82,"snibOl","fub","fubfub","fub"
"36",176,83,"kublE","snibOl","snibOl","snibOl"
"37",176,86,"bEsmi","nifs","nifs","nibs"
"38",176,87,"smiba","bEsmi","bEsmi","dEsmi"
"39",176,88,"nEsk","smiba","smiba","fniba"
"40",176,89,"slOku","nEsk","nEsk","nEst"
"41",176,107,"skEfi","mif","mif","nEf"
"42",176,108,"blim","skEfi","skEfi","skEfi"
"43",190,25,"smadu","dasmu","madasmu","dasmu"
"44",206,111,"fub","balf","balf","balf"
"45",208,13,"bEsmi","fOns","fOs","fOns"
"46",208,14,"nEf","bEsmi","bEsmi","bEsmi"
"47",208,15,"nal","nEf","nEf","nEf"
"48",208,16,"dEsna","nal","nal","nal"
"49",208,18,"snid","daf","daf","daf"
"50",208,19,"snibOl","snid","snid","sni"
"51",208,20,"slinab","snibOl","snibal","snibOl"
"52",208,33,"kublE","nOflE","nOflE","naflE"
"53",208,38,"flEsOd","blim","blim","blim"
"54",208,39,"blEkus","flEsOd","flEsOd","flEsO"
"55",208,40,"flOb","blEkus","blEkus","blEkus"
"56",208,52,"mOls","smiba","smiba","smiba"
"57",208,53,"dasmu","mOls","mOls","mOls"
"58",208,55,"fub","slOku","slOku","slOku"
"59",208,56,"mif","fub","fub","fub"
"60",208,58,"nEsk","lOm","lOm","lOm"
"61",208,60,"blaf","balf","balf","balf"
"62",208,74,"smadu","balf","balf","balf"
"63",208,76,"mif","bEsmi","bEsmi","bEsmi"
"64",208,77,"skEfi","mif","mif","mif"
"65",208,78,"dEsna","skEfi","skEfi","skEfE"
"66",208,80,"slOku","flOb","flOb","flab"
"67",208,95,"blaf","nal","nal","nal"
"68",208,96,"daf","blaf","blaf","blaf"
"69",222,17,"flidu","smiba","smiba","sniba"
"70",222,57,"dasmu","snOf","snOf","snOf"
"71",222,71,"mOls","dasmu","dasmu","dasmu"
"72",242,42,"nEf","mif","nif","mif"
"73",251,47,"smiba","kublE","kublE","kublE"
"74",260,2,"mif","fOns","frOns","fOns"
"75",260,3,"nal","mif","mif","mif"
"76",260,4,"dEsna","nal","nal","nal"
"77",260,5,"blim","dEsna","dEsna","dEsna"
"78",260,6,"kublE","blim","blim","blin"
"79",260,7,"daf","kublE","kublE","kublE"
"80",260,8,"skEfi","daf","daf","daf"
"81",260,9,"flidu","skEfi","skEfi","skEfi"
"82",260,10,"nEf","flidu","flidu","flidu"
"83",260,22,"snibOl","balf","balf","balf"
"84",260,23,"nifs","snibOl","snibOl","snibOl"
"85",260,24,"flOb","nifs","nifs","nifs"
"86",260,25,"dasmu","flOb","flOb","flOb"
"87",260,27,"slOku","blaf","blaf","blaf"
"88",260,28,"smiba","slOku","slOku","slOku"
"89",260,30,"flEsOd","nOflE","nOflE","nOflE"
"90",260,42,"bEsmi","slinab","slinab","slinab"
"91",260,43,"smadu","bEsmi","bEsmi","bEsmi"
"92",260,44,"fub","smadu","smadu","smadu"
"93",260,45,"blEkus","fub","fub","fub"
"94",260,46,"lOm","blEkus","blEkus","blEkus"
"95",260,47,"snid","lOm","lOm","lOm"
"96",260,48,"snOf","snid","snid","snid"
"97",260,49,"mOls","snOf","snOf","snOf"
"98",260,50,"nEsk","mOls","mOls","mOls"
"99",260,62,"smiba","flEsOd","flEsOd","flEsOd"
"100",260,63,"kublE","smiba","smiba","smiba"
"101",260,64,"fOns","kublE","kublE","kublE"
"102",260,65,"nOflE","fOns","fOns","fOns"
"103",260,66,"skEfi","nOflE","nOflE","nOflE"
"104",260,67,"flOb","skEfi","skEfi","skEfi"
"105",260,68,"lOm","flOb","flOb","flOb"
"106",260,69,"blEkus","lOm","lOm","lOm"
"107",260,70,"daf","blEkus","blEkus","blEkus"
"108",260,82,"bEsmi","dEsna","dEsna","dEsna"
"109",260,84,"smadu","snibOl","nibOl","snibOl"
"110",260,85,"snOf","smadu","smadO","smadu"
"111",260,86,"snid","snOf","snOf","snOf"
"112",260,87,"nEf","snid","snid","snid"
"113",260,88,"slOku","nEf","nEf","nEf"
"114",260,89,"slinab","slOku","slOku","slOku"
"115",260,90,"blim","slinab","slinab","slinab"
"116",260,102,"mif","balf","balf","balf"
"117",260,104,"blaf","mOls","mOls","mOls"
"118",260,105,"nal","blaf","blaf","blaf"
"119",260,106,"nifs","nal","nal","nal"
"120",260,107,"dasmu","nifs","nifs","nifs"
"121",260,108,"nEsk","dasmu","dasmO","dasmu"
"122",260,109,"flidu","nEsk","nEsk","nEsk"
"123",260,110,"fub","flidu","flidu","flidu"
"124",276,112,"nifs","mOls","mOls","mOls"
"125",287,11,"smadu","nEsk","nEsk","nEsk"
