"participant_number"	"task"	"mean_nLED"	"sd_nLED"	"mean_correct"	"sd_correct"
"1"	1	"R"	0.0833333333333333	0.136695396544014	0.666666666666667	0.477118723613698
"2"	1	"W"	0.0626984285714286	0.112546863068862	0.738095238095238	0.445000619869331
"3"	2	"R"	0.0980158571428571	0.144323551377701	0.619047619047619	0.49150743499232
"4"	2	"W"	0.0539683095238095	0.0879463428492646	0.714285714285714	0.457229956859213
"5"	4	"R"	0.0488095238095238	0.135370246935317	0.857142857142857	0.354168801660573
"6"	4	"W"	0.0595238333333333	0.0985767995249455	0.714285714285714	0.457229956859213
"7"	6	"R"	0.0603174761904762	0.0995894306186076	0.666666666666667	0.477118723613698
"8"	6	"W"	0.090079380952381	0.158330556570424	0.69047619047619	0.467901138093333
"9"	7	"R"	0.803958809523809	0.213896878415772	0.0238095238095238	0.154303349962092
"10"	7	"W"	0.877380928571429	0.142129630282066	0	0
"11"	8	"R"	0.0912698333333333	0.161473457792025	0.714285714285714	0.457229956859212
"12"	8	"W"	0.0936508095238095	0.140216265220558	0.642857142857143	0.484965604585173
"13"	9	"R"	0.575907023809524	0.25598757533964	0.0238095238095238	0.154303349962092
"14"	9	"W"	0.583049857142857	0.241361593496358	0.0238095238095238	0.154303349962092
"15"	10	"R"	0.0670635	0.155804060759293	0.714285714285714	0.457229956859213
"16"	10	"W"	0.0813492380952381	0.153601894117166	0.714285714285714	0.457229956859212
"17"	11	"R"	0.175396833333333	0.195589501714865	0.428571428571429	0.50087032267781
"18"	11	"W"	0.234523785714286	0.219181555382584	0.357142857142857	0.484965604585173
"19"	12	"R"	0.14047619047619	0.191207206705855	0.523809523809524	0.505486736604131
"20"	12	"W"	0.341269833333333	0.257206172106548	0.238095238095238	0.431080537409043
"21"	14	"R"	0.737698428571429	0.334572079427507	0.119047619047619	0.327770067561568
"22"	14	"W"	0.758333333333333	0.201123214536502	0	0
"23"	17	"R"	0.724206309523809	0.386881835390909	0.142857142857143	0.354168801660573
"24"	17	"W"	0.685714285714286	0.373487392512086	0.19047619047619	0.397436617931637
"25"	18	"R"	0.159920595238095	0.2169736422728	0.547619047619048	0.503760538950749
"26"	18	"W"	0.172222238095238	0.285860727866272	0.666666666666667	0.477118723613698
"27"	19	"R"	0.304471536585366	0.282410057534527	0.24390243902439	0.434769352926241
"28"	19	"W"	0.341666642857143	0.269804943845737	0.214285714285714	0.415299732236633
"29"	20	"R"	0.497619047619048	0.307573152745176	0.142857142857143	0.354168801660573
"30"	20	"W"	0.669444428571429	0.210751586817293	0	0
"31"	22	"R"	0.714634073170732	0.245549158916233	0.024390243902439	0.156173761888606
"32"	22	"W"	0.6670635	0.216447302797707	0.0238095238095238	0.154303349962092
"33"	25	"R"	0.1579365	0.187417092230691	0.428571428571429	0.50087032267781
"34"	25	"W"	0.196428571428571	0.190866485006506	0.380952380952381	0.49150743499232
"35"	27	"R"	0.0404761904761905	0.108771325800067	0.833333333333333	0.377195470232912
"36"	27	"W"	0.0869614523809524	0.142339580225909	0.69047619047619	0.467901138093333
"37"	29	"R"	0.2988095	0.250213776698193	0.285714285714286	0.457229956859213
"38"	29	"W"	0.323015833333333	0.184271513731831	0.142857142857143	0.354168801660573
"39"	31	"R"	0.0329365238095238	0.0873028880239863	0.857142857142857	0.354168801660573
"40"	31	"W"	0.05	0.108637771109585	0.80952380952381	0.397436617931637
"41"	32	"R"	0.0761904761904762	0.12275861795037	0.642857142857143	0.484965604585173
"42"	32	"W"	0.197222214285714	0.187946992157108	0.380952380952381	0.49150743499232
"43"	36	"R"	0.0452380952380952	0.124247628119445	0.857142857142857	0.354168801660573
"44"	36	"W"	0.115079380952381	0.150959427041604	0.571428571428571	0.50087032267781
"45"	37	"R"	0.717460285714286	0.240678608828199	0.0238095238095238	0.154303349962092
"46"	37	"W"	0.849206380952381	0.1434170347762	0	0
"47"	41	"R"	0.0523809761904762	0.0901347861527629	0.69047619047619	0.467901138093333
"48"	41	"W"	0.257142857142857	0.213917608722927	0.285714285714286	0.457229956859213
"49"	42	"R"	0.109126976190476	0.164259103269356	0.595238095238095	0.496795772414547
"50"	42	"W"	0.132142880952381	0.136962419500477	0.452380952380952	0.503760538950749
"51"	46	"R"	0.493518547619048	0.284005693222324	0.19047619047619	0.397436617931637
"52"	46	"W"	0.447619	0.182298374029649	0.0238095238095238	0.154303349962092
"53"	48	"R"	0.311507952380952	0.25831666737798	0.285714285714286	0.457229956859212
"54"	48	"W"	0.428571404761905	0.212205084916209	0.0476190476190476	0.215540268704521
"55"	50	"R"	0.0626984047619048	0.146171058376414	0.738095238095238	0.445000619869331
"56"	50	"W"	0.114682571428571	0.133445198524255	0.523809523809524	0.505486736604131
"57"	52	"R"	0.651757357142857	0.315627342023425	0.0952380952380952	0.297101757186175
"58"	52	"W"	0.887301547619048	0.161958283950243	0	0
"59"	54	"R"	0.686904761904762	0.292950935945104	0.0714285714285714	0.260661180215007
"60"	54	"W"	0.790873023809524	0.141526771285892	0	0
"61"	55	"R"	0.155555547619048	0.168231098848332	0.380952380952381	0.49150743499232
"62"	55	"W"	0.13373019047619	0.171889233466694	0.547619047619048	0.503760538950749
"63"	56	"R"	0.15158730952381	0.175721877051804	0.476190476190476	0.505486736604131
"64"	56	"W"	0.163492047619048	0.16647293975195	0.428571428571429	0.50087032267781
"65"	57	"R"	0.864928214285714	0.205747646730641	0.0238095238095238	0.154303349962092
"66"	57	"W"	0.0626984047619048	0.230023228444334	0.928571428571429	0.260661180215007
"67"	58	"R"	0.144444428571429	0.160987198961502	0.452380952380952	0.503760538950749
"68"	58	"W"	0.163095238095238	0.167822605815989	0.428571428571429	0.50087032267781
"69"	59	"R"	0.176190452380952	0.184939083628967	0.380952380952381	0.49150743499232
"70"	59	"W"	0.191666666666667	0.182472079016539	0.380952380952381	0.49150743499232
"71"	61	"R"	0.0984126666666667	0.166577553257344	0.69047619047619	0.467901138093333
"72"	61	"W"	0.231745976190476	0.197676498969783	0.285714285714286	0.457229956859213
"73"	62	"R"	0.0674603095238095	0.124338458770168	0.738095238095238	0.445000619869331
"74"	62	"W"	0.074206380952381	0.102687651268645	0.642857142857143	0.484965604585173
"75"	63	"R"	0.113492047619048	0.180192518531377	0.595238095238095	0.496795772414547
"76"	63	"W"	0.121031761904762	0.195097753044506	0.595238095238095	0.496795772414547
"77"	66	"R"	0.759013642857143	0.235226934283016	0.0238095238095238	0.154303349962092
"78"	66	"W"	0.791269857142857	0.170653025853498	0	0
"79"	67	"R"	0.25158730952381	0.329732741039821	0.428571428571429	0.50087032267781
"80"	67	"W"	0.590079357142857	0.399984055100665	0.238095238095238	0.431080537409042
"81"	71	"R"	0.171428547619048	0.166434168379588	0.357142857142857	0.484965604585173
"82"	71	"W"	0.23015869047619	0.165902192926374	0.261904761904762	0.445000619869331
"83"	73	"R"	0.0321428571428571	0.0823431133014426	0.785714285714286	0.415299732236633
"84"	73	"W"	0.110714285714286	0.139094079632436	0.571428571428571	0.50087032267781
"85"	75	"R"	0.744557833333333	0.331534184092675	0.119047619047619	0.327770067561568
"86"	75	"W"	0.882142833333333	0.146614589463688	0	0
"87"	76	"R"	0.0801587380952381	0.122929331663847	0.619047619047619	0.49150743499232
"88"	76	"W"	0.0753968571428571	0.137694850032213	0.714285714285714	0.457229956859212
"89"	78	"R"	0.0448412857142857	0.0986005318083629	0.785714285714286	0.415299732236633
"90"	78	"W"	0.106349214285714	0.136891133001791	0.571428571428571	0.50087032267781
"91"	79	"R"	0.20396819047619	0.163540116404275	0.214285714285714	0.415299732236633
"92"	79	"W"	0.258730166666667	0.183987649254219	0.214285714285714	0.415299732236633
"93"	80	"R"	0.0587301666666667	0.111726899467105	0.761904761904762	0.431080537409043
"94"	80	"W"	0.0746031666666667	0.135812200199647	0.738095238095238	0.445000619869331
"95"	81	"R"	0.284297071428571	0.214224469713702	0.19047619047619	0.397436617931637
"96"	81	"W"	0.35634919047619	0.243003792786946	0.142857142857143	0.354168801660573
"97"	82	"R"	0.509863928571429	0.387198569216919	0.261904761904762	0.445000619869331
"98"	82	"W"	0.588492047619048	0.433778497226517	0.333333333333333	0.477118723613698
"99"	85	"R"	0.5011905	0.265071296152863	0.0714285714285714	0.260661180215007
"100"	85	"W"	0.5	0.267807544253013	0.0952380952380952	0.297101757186175
"101"	88	"R"	0.406745976190476	0.347270809964837	0.19047619047619	0.397436617931638
"102"	88	"W"	0.433333333333333	0.404631054138101	0.404761904761905	0.496795772414547
"103"	91	"R"	0.689285761904762	0.215799429666487	0	0
"104"	91	"W"	0.696031738095238	0.20903735221551	0	0
"105"	92	"R"	0.0646825476190476	0.127685372089826	0.738095238095238	0.445000619869331
"106"	92	"W"	0.0730158571428571	0.121806176624311	0.714285714285714	0.457229956859212
"107"	93	"R"	0.0829365238095238	0.130948597467645	0.595238095238095	0.496795772414547
"108"	93	"W"	0.145238119047619	0.143668807230838	0.428571428571429	0.50087032267781
"109"	95	"R"	0.324489761904762	0.21166571927807	0.0952380952380952	0.297101757186175
"110"	95	"W"	0.323299261904762	0.18694569664687	0.0952380952380952	0.297101757186175
"111"	97	"R"	0.777097547619048	0.258708687556449	0	0
"112"	97	"W"	0.7920635	0.189072660097266	0	0
"113"	99	"R"	0.836791404761905	0.172426728405538	0	0
"114"	99	"W"	0.748015928571429	0.17258599433911	0	0
"115"	101	"R"	0.0849206428571429	0.174561386920479	0.69047619047619	0.467901138093333
"116"	101	"W"	0.114229023809524	0.170251361336556	0.595238095238095	0.496795772414547
"117"	108	"R"	0.133333333333333	0.148067918203457	0.476190476190476	0.505486736604131
"118"	108	"W"	0.0940475952380952	0.133730119315907	0.642857142857143	0.484965604585173
"119"	109	"R"	0.0593496097560976	0.12500271319553	0.780487804878049	0.419058177461747
"120"	109	"W"	0.0674603571428571	0.0984949736788192	0.666666666666667	0.477118723613698
"121"	113	"R"	0.0253968333333333	0.0708292217613112	0.80952380952381	0.397436617931637
"122"	113	"W"	0.0380952380952381	0.111972080475623	0.880952380952381	0.327770067561568
"123"	116	"R"	0.218650761904762	0.208952823038588	0.357142857142857	0.484965604585173
"124"	116	"W"	0.088888880952381	0.145839592122806	0.69047619047619	0.467901138093333
"125"	119	"R"	0.28928569047619	0.21419230873674	0.214285714285714	0.415299732236633
"126"	119	"W"	0.318253928571429	0.24989995920684	0.238095238095238	0.431080537409043
"127"	125	"R"	0.521825404761905	0.332447751850852	0.0714285714285714	0.260661180215007
"128"	125	"W"	0.809523833333333	0.162848206993869	0	0
"129"	126	"R"	0.496286880952381	0.296557017029235	0.119047619047619	0.327770067561568
"130"	126	"W"	0.839285714285714	0.166374590764963	0	0
"131"	127	"R"	0.0146825476190476	0.0543753096534844	0.880952380952381	0.327770067561568
"132"	127	"W"	0.0265873095238095	0.0764258760137091	0.880952380952381	0.327770067561568
"133"	129	"R"	0.352380952380952	0.300351461436712	0.238095238095238	0.431080537409043
"134"	129	"W"	0.43928569047619	0.269442433680703	0.142857142857143	0.354168801660573
"135"	130	"R"	0.0670635	0.132184492424137	0.666666666666667	0.477118723613698
"136"	130	"W"	0.0694444523809524	0.121134910083094	0.714285714285714	0.457229956859213
"137"	131	"R"	0.798129261904762	0.359525354995767	0.0952380952380952	0.297101757186175
"138"	131	"W"	0.867120214285714	0.162203527089337	0	0
"139"	135	"R"	0.291666642857143	0.237598909656468	0.19047619047619	0.397436617931637
"140"	135	"W"	0.244444452380952	0.213045625777867	0.30952380952381	0.467901138093333
"141"	138	"R"	0.137301571428571	0.17023850053426	0.404761904761905	0.496795772414547
"142"	138	"W"	0.223015833333333	0.173632946145361	0.285714285714286	0.457229956859213
"143"	142	"R"	0.0146825476190476	0.0543753096534844	0.928571428571429	0.260661180215007
"144"	142	"W"	0.0670635	0.145691883306108	0.761904761904762	0.431080537409043
"145"	143	"R"	0.158730166666667	0.166757589214056	0.428571428571429	0.50087032267781
"146"	143	"W"	0.201984142857143	0.197106518469579	0.380952380952381	0.49150743499232
"147"	144	"R"	NA	NA	NA	NA
"148"	144	"W"	0.945578190476191	0.0888829076757149	0	0
"149"	145	"R"	0.188888857142857	0.179001505396119	0.357142857142857	0.484965604585173
"150"	145	"W"	0.285997714285714	0.174895719022101	0.166666666666667	0.377195470232912
"151"	146	"R"	0.626483333333333	0.281457855951149	0.0952380952380952	0.297101757186175
"152"	146	"W"	0.730952404761905	0.19389640450371	0	0
"153"	147	"R"	0.186904785714286	0.189798625328433	0.404761904761905	0.496795772414547
"154"	147	"W"	0.25	0.203492547289072	0.261904761904762	0.445000619869331
"155"	148	"R"	0.0293650952380952	0.0881002180426441	0.80952380952381	0.397436617931638
"156"	148	"W"	0.075	0.127740930235627	0.714285714285714	0.457229956859213
"157"	149	"R"	0.798015857142857	0.214014483471081	0.0238095238095238	0.154303349962092
"158"	149	"W"	0.874603166666667	0.156184075296398	0	0
"159"	150	"R"	0.34246030952381	0.235794275311618	0.166666666666667	0.377195470232912
"160"	150	"W"	0.471428571428571	0.209376656302574	0.0476190476190476	0.215540268704521
"161"	154	"R"	0.265986357142857	0.183098455396613	0.214285714285714	0.415299732236633
"162"	154	"W"	0.350396785714286	0.183591414711666	0.119047619047619	0.327770067561568
"163"	157	"R"	0.128174642857143	0.21233918915078	0.523809523809524	0.505486736604131
"164"	157	"W"	0.17460319047619	0.198716677975384	0.452380952380952	0.503760538950749
"165"	159	"R"	0.073015880952381	0.137187787610891	0.714285714285714	0.457229956859213
"166"	159	"W"	0.0938775476190476	0.141683254792496	0.642857142857143	0.484965604585173
"167"	161	"R"	0.0494330952380952	0.114527160599424	0.80952380952381	0.397436617931638
"168"	161	"W"	0.0996031904761905	0.11426020179979	0.547619047619048	0.503760538950749
"169"	162	"R"	0.121428571428571	0.193010843815693	0.547619047619048	0.503760538950749
"170"	162	"W"	0.197619047619048	0.221278975980598	0.452380952380952	0.503760538950749
"171"	163	"R"	0.117063452380952	0.165093666344099	0.571428571428571	0.50087032267781
"172"	163	"W"	0.132936523809524	0.175477960389754	0.547619047619048	0.503760538950749
"173"	164	"R"	0.5988095	0.265862446168402	0.0238095238095238	0.154303349962092
"174"	164	"W"	0.794444476190476	0.165756271809272	0	0
"175"	167	"R"	0.458246268292683	0.299838460541841	0.0731707317073171	0.263651654881875
"176"	167	"W"	0.422222214285714	0.22741233080545	0.119047619047619	0.327770067561568
"177"	168	"R"	0.584807214285714	0.308428318832324	0.0952380952380952	0.297101757186175
"178"	168	"W"	0.720181428571429	0.202577428509374	0	0
"179"	169	"R"	0.0500000238095238	0.0921734270297793	0.761904761904762	0.431080537409043
"180"	169	"W"	0.084127	0.138221013223697	0.69047619047619	0.467901138093333
"181"	170	"R"	0.817772142857143	0.198686319517336	0	0
"182"	170	"W"	0.915249404761905	0.12937340485814	0	0
"183"	173	"R"	0.214058976190476	0.194072365235049	0.30952380952381	0.467901138093333
"184"	173	"W"	0.232142833333333	0.18247738445679	0.285714285714286	0.457229956859213
"185"	176	"R"	0.463821097560976	0.392284991038136	0.268292682926829	0.448574979457305
"186"	176	"W"	0.712698404761905	0.360062656002079	0.166666666666667	0.377195470232912
"187"	177	"R"	NA	NA	NA	NA
"188"	177	"W"	0.179365071428571	0.176874740906802	0.404761904761905	0.496795772414547
"189"	181	"R"	0.550736976190476	0.349981441256149	0.19047619047619	0.397436617931638
"190"	181	"W"	0.828174642857143	0.183517524849054	0	0
"191"	182	"R"	0.161507928571429	0.158861433759631	0.404761904761905	0.496795772414547
"192"	182	"W"	0.185317452380952	0.203432649453375	0.428571428571429	0.50087032267781
"193"	185	"R"	0.143537404761905	0.238190599117911	0.595238095238095	0.496795772414547
"194"	185	"W"	0.113492047619048	0.166024672784404	0.642857142857143	0.484965604585173
"195"	188	"R"	0.286904785714286	0.288781607484858	0.428571428571429	0.50087032267781
"196"	188	"W"	0.573922928571429	0.188851251003482	0.0238095238095238	0.154303349962092
"197"	190	"R"	0.353628095238095	0.308639498084567	0.261904761904762	0.445000619869331
"198"	190	"W"	0.603968238095238	0.399437425751843	0.238095238095238	0.431080537409042
"199"	191	"R"	0.526417261904762	0.248076868701585	0.0714285714285714	0.260661180215007
"200"	191	"W"	0.640476190476191	0.179397646805846	0	0
"201"	192	"R"	0.0976190714285714	0.13854506654029	0.571428571428571	0.50087032267781
"202"	192	"W"	0.117063523809524	0.168827004244746	0.595238095238095	0.496795772414547
"203"	193	"R"	0.493902414634146	0.417495114336203	0.268292682926829	0.448574979457305
"204"	193	"W"	0.855555547619048	0.207471116392926	0.0238095238095238	0.154303349962092
"205"	194	"R"	0.258333333333333	0.237370680810463	0.261904761904762	0.445000619869331
"206"	194	"W"	0.495975047619048	0.225325087144184	0.0476190476190476	0.215540268704521
"207"	196	"R"	0.331745976190476	0.257458095374145	0.261904761904762	0.445000619869331
"208"	196	"W"	0.299603119047619	0.189439581858934	0.166666666666667	0.377195470232912
"209"	197	"R"	0.0948412619047619	0.12133446177045	0.595238095238095	0.496795772414547
"210"	197	"W"	0.123412714285714	0.144925886470912	0.523809523809524	0.505486736604131
"211"	198	"R"	0.261507904761905	0.214023519921641	0.238095238095238	0.431080537409042
"212"	198	"W"	0.278571428571429	0.213160674359329	0.238095238095238	0.431080537409043
"213"	199	"R"	0.105158738095238	0.168586036234099	0.523809523809524	0.505486736604131
"214"	199	"W"	0.155158738095238	0.180277116895082	0.476190476190476	0.505486736604131
"215"	200	"R"	0.0769841428571429	0.128834277081455	0.619047619047619	0.49150743499232
