experiment,language_spoken,n
0,Arabic,1
0,Bengali,1
0,BSL,1
0,Cantonese,2
0,Chichewa,1
0,Chinese,1
0,Chinese (Mandarin),3
0,Danish,2
0,Dutch,1
0,English,112
0,French,28
0,French ,1
0,German,10
0,Hausa,1
0,Hindi,1
0,Ilocano,1
0,Indonesian,1
0,Irish,3
0,Italian,2
0,Japanese,4
0,Korean,1
0,Luxembourgish,1
0,Malay,1
0,Pidgin,1
0,Polish,2
0,Punjabi,1
0,Russian,1
0,Spanish,21
0,Spanish ,1
0,Tagalog,2
0,Tiv,1
0,Turkish,1
0,Twi,2
0,Uzbek,1
0,Welsh,2
0,Yoruba,1
1,Arabic,1
1,Chinese (Mandarin),1
1,English,112
1,Filipino,1
1,French,6
1,German,2
1,Gujarati,1
1,Hindi,4
1,Italian,1
1,Japanese,2
1,None,1
1,Portuguese,2
1,Spanish,11
1,Spanish ,1
2,Chinese (Mandarin),1
2,Danish,1
2,English,112
2,Esperanto,1
2,French,4
2,German,3
2,Gujarati,1
2,Hindi,12
2,Homeric Greek,1
2,Italian,1
2,Japanese,5
2,Kannada,1
2,Korean,1
2,Latin,1
2,Malayalam,5
2,Norwegian,1
2,Russian,1
2,Spanish,15
2,Tamil,10
2,Telugu,1
2,Urdu,1
2,Welsh,1
3,Afrikaans,2
3,Arabic,3
3,ASL,2
3,BSL,1
3,Cantonese,2
3,Chinese (Mandarin),6
3,Danish ,1
3,Dutch,1
3,English,160
3,Finnish,1
3,French,34
3,German,12
3,Greek,1
3,Hebrew,1
3,Hungarian,1
3,Indonesian,1
3,Italian,5
3,Japanese,4
3,Latin,1
3,Malay,1
3,Norwegian,2
3,Norwegin,1
3,Polish,2
3,Pushto,1
3,Rusian,1
3,Russian,2
3,Serbian,1
3,Spanish,18
3,Spanish ,2
3,Swedish,1
3,Vietnamese,1
3,Welsh,2
3,Yoruba,2
