task,language_variety,dialect_words,interacting_factors,lenient_coder_error_types,n_subj,mean_prop,sd_prop,se_prop,ci
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Correct,56,0.319047619047619,0.28361712296452146,0.03789993225556338,0.07595316152377382
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Dialect Word Match,56,0,0,0,0
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Dialect Word Mismatch,56,0.011989795918367347,0.03157373104019304,0.004219217284805431,0.008455500389177709
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Standard Word Mismatch,56,0.029945054945054946,0.07734632146386734,0.010335836965895396,0.02071348015242978
Reading,Variety Match,Non-contrastive,Reading: Variety Match,Other Mismatch,56,0.6390175300889587,0.27496103540061606,0.036743213899347364,0.07363504613626431
Reading,Variety Match,Contrastive,Reading: Variety Match,Correct,56,0.2942176870748299,0.27894242404360964,0.0372752493359786,0.07470126897757012
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Match,56,0.026275510204081632,0.060602289174994856,0.008098321533822499,0.016229399023255132
Reading,Variety Match,Contrastive,Reading: Variety Match,Dialect Word Mismatch,56,0.0047619047619047615,0.01732467316125473,0.002315106832401894,0.004639577770232073
Reading,Variety Match,Contrastive,Reading: Variety Match,Standard Word Mismatch,56,0.03131868131868132,0.06902882449478953,0.009224364681116117,0.018486039918347394
Reading,Variety Match,Contrastive,Reading: Variety Match,Other Mismatch,56,0.6434262166405024,0.2737885053996106,0.03658652798722322,0.07332104055145701
Reading,Variety Match,Untrained,Reading: Variety Match,Correct,56,0.2648809523809524,0.3299476323834437,0.04409110699843161,0.0883605529696504
Reading,Variety Match,Untrained,Reading: Variety Match,Dialect Word Match,56,0,0,0,0
Reading,Variety Match,Untrained,Reading: Variety Match,Dialect Word Mismatch,56,0.004464285714285714,0.024718837422518992,0.0033031935940868637,0.006619747890423913
Reading,Variety Match,Untrained,Reading: Variety Match,Standard Word Mismatch,56,0.02976190476190476,0.08908708063747478,0.011904761904761904,0.023857675991537444
Reading,Variety Match,Untrained,Reading: Variety Match,Other Mismatch,56,0.7008928571428571,0.3181293117880825,0.0425118174786139,0.0851955860461565
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Correct,56,0.35926870748299317,0.25211358809286183,0.03369009532834783,0.06751645979128948
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Dialect Word Match,56,0,0,0,0
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,56,0.023809523809523808,0.05603544538924573,0.0074880513629228245,0.015006390270866662
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Standard Word Mismatch,56,0.03333333333333333,0.08989331499509895,0.012012499502607453,0.024073586962463922
Reading,Variety Mismatch,Non-contrastive,Reading: Variety Mismatch,Other Mismatch,56,0.5835884353741496,0.24355628021236922,0.03254657696256412,0.06522479777574529
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Correct,56,0.2845238095238095,0.27369261573460085,0.03657371419174469,0.07329536113147411
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Match,56,0.05476190476190476,0.12200820827306204,0.016304032633284147,0.032674011545309085
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Dialect Word Mismatch,56,0.014285714285714287,0.06190809181853236,0.00827281675192468,0.016579095254801706
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Standard Word Mismatch,56,0.03214285714285714,0.09254303628157855,0.012366583403480616,0.024783186956855455
Reading,Variety Mismatch,Contrastive,Reading: Variety Mismatch,Other Mismatch,56,0.6142857142857143,0.2683926825281048,0.035865480826334166,0.07187602975017186
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Correct,56,0.28869047619047616,0.3031669064396263,0.04051238196090116,0.08118862772736123
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Dialect Word Match,56,0,0,0,0
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Dialect Word Mismatch,56,0.010416666666666666,0.0551913567380424,0.007375255272320432,0.01478034185391953
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Standard Word Mismatch,56,0.02827380952380952,0.10085090720169791,0.013476769353360223,0.027008049318192586
Reading,Variety Mismatch,Untrained,Reading: Variety Mismatch,Other Mismatch,56,0.6726190476190476,0.3060241716773262,0.04089420008885159,0.08195380835484553
