task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,10,840,56,0.011904761904761904,0.011904761904761904,0.03389143178783022,0.004528933074902861
Reading,Variety Match,Contrastive,69,840,56,0.08214285714285714,0.08214285714285714,0.11788785729474811,0.01575342757349452
Reading,Variety Match,Untrained,14,672,56,0.020833333333333332,0.020833333333333336,0.09024377759125221,0.01205933203695334
Reading,Variety Mismatch,Non-contrastive,5,840,56,0.005952380952380952,0.005952380952380952,0.02301263847501041,0.003075193169256461
Reading,Variety Mismatch,Contrastive,37,840,56,0.04404761904761905,0.04404761904761905,0.057245578668193034,0.00764976222442833
Reading,Variety Mismatch,Untrained,1,672,56,0.001488095238095238,0.001488095238095238,0.01113588507968435,0.001488095238095238
Spelling,Variety Match,Non-contrastive,5,839,56,0.0059594755661501785,0.005952380952380952,0.01918242341221171,0.0025633591520188336
Spelling,Variety Match,Contrastive,34,839,56,0.04052443384982122,0.04047619047619048,0.07486399404665507,0.01000412201171669
Spelling,Variety Match,Untrained,0,671,56,0,0,0,0
Spelling,Variety Mismatch,Non-contrastive,0,836,56,0,0,0,0
Spelling,Variety Mismatch,Contrastive,30,840,56,0.03571428571428571,0.03571428571428571,0.07408898358850316,0.009900556882946292
Spelling,Variety Mismatch,Untrained,0,670,56,0,0,0,0
