task,language_variety,dialect_words,total,n_obs,n_subj,total_prop,mean_prop,sd_prop,se_prop
Reading,Variety Match,Non-contrastive,3,428,49,0.007009345794392523,0.009378036929057337,0.04159406419346775,0.005942009170495393
Reading,Variety Match,Contrastive,22,467,52,0.047109207708779445,0.06340256965256966,0.15901212414870122,0.022051014116868765
Reading,Variety Match,Untrained,1,415,52,0.0024096385542168677,0.0016025641025641025,0.011556254088025606,0.0016025641025641025
Reading,Variety Mismatch,Non-contrastive,8,382,50,0.020942408376963352,0.01593284493284493,0.05138852988923824,0.0072674355919775885
Reading,Variety Mismatch,Contrastive,53,464,52,0.11422413793103449,0.1444103439295747,0.2538998989267,0.035209580939051584
Reading,Variety Mismatch,Untrained,14,411,50,0.0340632603406326,0.023333333333333334,0.09529760045804525,0.013477115902938007
Spelling,Variety Match,Non-contrastive,0,523,53,0,0,0,0
Spelling,Variety Match,Contrastive,30,534,52,0.056179775280898875,0.09670948709410247,0.22249495906694972,0.030854499363390332
Spelling,Variety Match,Untrained,0,469,52,0,0,0,0
Spelling,Variety Mismatch,Non-contrastive,5,525,54,0.009523809523809525,0.011750440917107583,0.03944571565321262,0.005367881993849232
Spelling,Variety Mismatch,Contrastive,34,530,50,0.06415094339622641,0.09237873237873238,0.18854400184242673,0.02666414845096577
Spelling,Variety Mismatch,Untrained,0,459,55,0,0,0,0
